order_id,order_date,promised_dispatch_date,actual_dispatch_date,lines_ordered,lines_shipped
SO-000085,2025-07-02,2025-07-02,2025-07-02,7,7
SO-000086,2025-07-02,2025-07-02,2025-07-03,2,2
SO-000087,2025-07-02,2025-07-02,2025-07-02,15,15
SO-000088,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000089,2025-07-02,2025-07-02,2025-07-02,13,13
SO-000090,2025-07-02,2025-07-02,2025-07-02,14,14
SO-000091,2025-07-02,2025-07-02,2025-07-02,6,6
SO-000092,2025-07-02,2025-07-02,2025-07-02,2,2
SO-000093,2025-07-02,2025-07-02,2025-07-03,5,5
SO-000094,2025-07-02,2025-07-02,2025-07-02,2,2
SO-000095,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000096,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000097,2025-07-02,2025-07-02,2025-07-02,5,5
SO-000098,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000099,2025-07-02,2025-07-02,2025-07-02,11,11
SO-000100,2025-07-02,2025-07-02,2025-07-02,5,5
SO-000101,2025-07-02,2025-07-02,2025-07-02,8,8
SO-000102,2025-07-02,2025-07-02,2025-07-02,11,11
SO-000103,2025-07-02,2025-07-02,2025-07-02,4,4
SO-000104,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000105,2025-07-02,2025-07-02,2025-07-02,12,12
SO-000106,2025-07-02,2025-07-02,2025-07-02,1,1
SO-000107,2025-07-02,2025-07-02,2025-07-02,10,10
SO-000108,2025-07-02,2025-07-02,2025-07-02,4,4
SO-000109,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000110,2025-07-02,2025-07-02,2025-07-02,8,8
SO-000111,2025-07-02,2025-07-02,2025-07-02,3,2
SO-000112,2025-07-02,2025-07-02,2025-07-02,22,22
SO-000113,2025-07-02,2025-07-02,2025-07-02,5,5
SO-000114,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000115,2025-07-02,2025-07-02,2025-07-02,39,39
SO-000116,2025-07-02,2025-07-02,2025-07-02,4,4
SO-000117,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000118,2025-07-02,2025-07-02,2025-07-02,16,16
SO-000119,2025-07-02,2025-07-02,2025-07-02,3,2
SO-000120,2025-07-02,2025-07-02,2025-07-02,11,11
SO-000121,2025-07-02,2025-07-02,2025-07-02,9,9
SO-000122,2025-07-02,2025-07-02,2025-07-02,4,4
SO-000123,2025-07-02,2025-07-02,2025-07-02,6,6
SO-000124,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000125,2025-07-02,2025-07-02,2025-07-02,4,4
SO-000126,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000127,2025-07-02,2025-07-02,2025-07-02,8,8
SO-000128,2025-07-02,2025-07-02,2025-07-03,12,10
SO-000129,2025-07-02,2025-07-02,2025-07-02,9,9
SO-000130,2025-07-02,2025-07-02,2025-07-02,1,1
SO-000131,2025-07-02,2025-07-02,2025-07-02,43,43
SO-000132,2025-07-02,2025-07-02,2025-07-02,13,11
SO-000133,2025-07-02,2025-07-02,2025-07-02,1,1
SO-000134,2025-07-02,2025-07-02,2025-07-02,2,2
SO-000135,2025-07-02,2025-07-02,2025-07-02,8,8
SO-000136,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000137,2025-07-02,2025-07-02,2025-07-02,4,4
SO-000138,2025-07-02,2025-07-02,2025-07-02,14,14
SO-000139,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000140,2025-07-02,2025-07-02,2025-07-02,5,5
SO-000141,2025-07-02,2025-07-02,2025-07-02,4,4
SO-000142,2025-07-02,2025-07-02,2025-07-02,6,6
SO-000143,2025-07-02,2025-07-02,2025-07-02,4,4
SO-000144,2025-07-02,2025-07-02,2025-07-02,8,8
SO-000145,2025-07-02,2025-07-02,2025-07-02,1,1
SO-000146,2025-07-02,2025-07-02,2025-07-02,5,5
SO-000147,2025-07-02,2025-07-02,2025-07-02,2,2
SO-000148,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000149,2025-07-02,2025-07-02,2025-07-03,7,7
SO-000150,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000151,2025-07-02,2025-07-02,2025-07-02,16,16
SO-000152,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000153,2025-07-03,2025-07-03,2025-07-03,6,6
SO-000154,2025-07-03,2025-07-03,2025-07-03,8,8
SO-000155,2025-07-03,2025-07-03,2025-07-03,10,10
SO-000156,2025-07-03,2025-07-03,2025-07-03,10,10
SO-000157,2025-07-03,2025-07-03,2025-07-03,5,5
SO-000158,2025-07-03,2025-07-03,2025-07-03,9,9
SO-000159,2025-07-03,2025-07-03,2025-07-03,6,6
SO-000160,2025-07-03,2025-07-03,2025-07-03,7,7
SO-000161,2025-07-03,2025-07-03,2025-07-03,4,4
SO-000162,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000163,2025-07-03,2025-07-03,2025-07-03,9,9
SO-000164,2025-07-03,2025-07-03,2025-07-03,6,6
SO-000165,2025-07-03,2025-07-03,2025-07-03,4,4
SO-000166,2025-07-03,2025-07-03,2025-07-03,4,4
SO-000167,2025-07-03,2025-07-03,2025-07-03,1,1
SO-000168,2025-07-03,2025-07-03,2025-07-03,9,9
SO-000169,2025-07-03,2025-07-03,2025-07-03,4,4
SO-000170,2025-07-03,2025-07-03,2025-07-03,1,1
SO-000171,2025-07-03,2025-07-03,2025-07-03,4,4
SO-000172,2025-07-03,2025-07-03,2025-07-03,7,7
SO-000173,2025-07-03,2025-07-03,2025-07-03,22,22
SO-000174,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000175,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000176,2025-07-03,2025-07-03,2025-07-03,4,4
SO-000177,2025-07-03,2025-07-03,2025-07-03,19,19
SO-000178,2025-07-03,2025-07-03,2025-07-04,3,3
SO-000179,2025-07-03,2025-07-03,2025-07-03,1,1
SO-000180,2025-07-03,2025-07-03,2025-07-03,12,12
SO-000181,2025-07-03,2025-07-03,2025-07-03,2,2
SO-000182,2025-07-03,2025-07-03,2025-07-03,8,8
SO-000183,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000184,2025-07-03,2025-07-03,2025-07-03,6,6
SO-000185,2025-07-03,2025-07-03,2025-07-03,10,10
SO-000186,2025-07-03,2025-07-03,2025-07-03,5,5
SO-000187,2025-07-03,2025-07-03,2025-07-03,8,8
SO-000188,2025-07-03,2025-07-03,2025-07-03,7,7
SO-000189,2025-07-03,2025-07-03,2025-07-03,1,1
SO-000190,2025-07-03,2025-07-03,2025-07-03,2,2
SO-000191,2025-07-03,2025-07-03,2025-07-03,53,53
SO-000192,2025-07-03,2025-07-03,2025-07-03,16,16
SO-000193,2025-07-03,2025-07-03,2025-07-03,4,4
SO-000194,2025-07-03,2025-07-03,2025-07-03,2,2
SO-000195,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000196,2025-07-03,2025-07-03,2025-07-03,6,6
SO-000197,2025-07-03,2025-07-03,2025-07-03,4,4
SO-000198,2025-07-03,2025-07-03,2025-07-03,6,6
SO-000199,2025-07-03,2025-07-03,2025-07-03,6,6
SO-000200,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000201,2025-07-03,2025-07-03,2025-07-03,8,8
SO-000202,2025-07-03,2025-07-03,2025-07-03,6,6
SO-000203,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000204,2025-07-03,2025-07-03,2025-07-03,8,8
SO-000205,2025-07-03,2025-07-03,2025-07-04,8,7
SO-000206,2025-07-03,2025-07-03,2025-07-03,13,13
SO-000207,2025-07-03,2025-07-03,2025-07-03,5,5
SO-000208,2025-07-03,2025-07-03,2025-07-04,4,4
SO-000209,2025-07-03,2025-07-03,2025-07-03,12,12
SO-000210,2025-07-03,2025-07-03,2025-07-03,8,8
SO-000211,2025-07-03,2025-07-03,2025-07-03,4,4
SO-000212,2025-07-03,2025-07-03,2025-07-03,4,4
SO-000213,2025-07-03,2025-07-03,2025-07-03,40,40
SO-000214,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000215,2025-07-03,2025-07-03,2025-07-04,4,4
SO-000216,2025-07-03,2025-07-03,2025-07-04,18,18
SO-000217,2025-07-03,2025-07-03,2025-07-03,7,7
SO-000218,2025-07-03,2025-07-03,2025-07-03,2,2
SO-000219,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000220,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000221,2025-07-03,2025-07-03,2025-07-03,1,1
SO-000222,2025-07-03,2025-07-03,2025-07-03,8,8
SO-000223,2025-07-03,2025-07-03,2025-07-03,6,6
SO-000224,2025-07-03,2025-07-03,2025-07-03,15,15
SO-000225,2025-07-03,2025-07-03,2025-07-03,3,3
SO-000226,2025-07-03,2025-07-03,2025-07-03,7,7
SO-000227,2025-07-03,2025-07-03,2025-07-04,19,19
SO-000228,2025-07-04,2025-07-04,2025-07-05,3,3
SO-000229,2025-07-04,2025-07-04,2025-07-04,6,6
SO-000230,2025-07-04,2025-07-04,2025-07-04,15,15
SO-000231,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000232,2025-07-04,2025-07-04,2025-07-04,13,13
SO-000233,2025-07-04,2025-07-04,2025-07-04,4,4
SO-000234,2025-07-04,2025-07-04,2025-07-04,11,11
SO-000235,2025-07-04,2025-07-04,2025-07-04,8,8
SO-000236,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000237,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000238,2025-07-04,2025-07-04,2025-07-05,17,17
SO-000239,2025-07-04,2025-07-04,2025-07-04,16,16
SO-000240,2025-07-04,2025-07-04,2025-07-04,16,16
SO-000241,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000242,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000243,2025-07-04,2025-07-04,2025-07-04,9,9
SO-000244,2025-07-04,2025-07-04,2025-07-04,14,14
SO-000245,2025-07-04,2025-07-04,2025-07-04,10,10
SO-000246,2025-07-04,2025-07-04,2025-07-04,35,35
SO-000247,2025-07-04,2025-07-04,2025-07-04,8,8
SO-000248,2025-07-04,2025-07-04,2025-07-04,5,5
SO-000249,2025-07-04,2025-07-04,2025-07-04,6,6
SO-000250,2025-07-04,2025-07-04,2025-07-04,5,5
SO-000251,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000252,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000253,2025-07-04,2025-07-04,2025-07-04,8,8
SO-000254,2025-07-04,2025-07-04,2025-07-04,16,16
SO-000255,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000256,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000257,2025-07-04,2025-07-04,2025-07-04,8,8
SO-000258,2025-07-04,2025-07-04,2025-07-04,5,5
SO-000259,2025-07-04,2025-07-04,2025-07-04,1,1
SO-000260,2025-07-04,2025-07-04,2025-07-04,14,14
SO-000261,2025-07-04,2025-07-04,2025-07-04,14,14
SO-000262,2025-07-04,2025-07-04,2025-07-04,1,1
SO-000263,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000264,2025-07-04,2025-07-04,2025-07-04,6,6
SO-000265,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000266,2025-07-04,2025-07-04,2025-07-04,4,4
SO-000267,2025-07-04,2025-07-04,2025-07-04,3,3
SO-000268,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000269,2025-07-04,2025-07-04,2025-07-04,15,15
SO-000270,2025-07-04,2025-07-04,2025-07-04,16,16
SO-000271,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000272,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000273,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000274,2025-07-04,2025-07-04,2025-07-04,8,8
SO-000275,2025-07-04,2025-07-04,2025-07-04,12,12
SO-000276,2025-07-04,2025-07-04,2025-07-04,1,1
SO-000277,2025-07-04,2025-07-04,2025-07-04,5,5
SO-000278,2025-07-04,2025-07-04,2025-07-04,8,8
SO-000279,2025-07-04,2025-07-04,2025-07-04,9,9
SO-000280,2025-07-04,2025-07-04,2025-07-04,9,9
SO-000281,2025-07-04,2025-07-04,2025-07-04,14,14
SO-000282,2025-07-04,2025-07-04,2025-07-04,3,3
SO-000283,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000284,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000285,2025-07-04,2025-07-04,2025-07-04,6,6
SO-000286,2025-07-04,2025-07-04,2025-07-04,4,4
SO-000287,2025-07-04,2025-07-04,2025-07-04,9,9
SO-000288,2025-07-04,2025-07-04,2025-07-04,5,5
SO-000289,2025-07-04,2025-07-04,2025-07-05,6,6
SO-000290,2025-07-04,2025-07-04,2025-07-04,13,13
SO-000291,2025-07-04,2025-07-04,2025-07-04,3,3
SO-000292,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000293,2025-07-04,2025-07-04,2025-07-04,20,20
SO-000294,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000295,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000296,2025-07-04,2025-07-04,2025-07-04,2,2
SO-000297,2025-07-04,2025-07-04,2025-07-04,10,10
SO-000298,2025-07-04,2025-07-04,2025-07-04,13,13
SO-000299,2025-07-04,2025-07-04,2025-07-04,12,12
SO-000300,2025-07-04,2025-07-04,2025-07-04,34,34
SO-000301,2025-07-04,2025-07-04,2025-07-04,13,13
SO-000302,2025-07-04,2025-07-04,2025-07-04,13,13
SO-000303,2025-07-04,2025-07-04,2025-07-04,6,6
SO-000304,2025-07-04,2025-07-04,2025-07-04,3,3
SO-000305,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000306,2025-07-04,2025-07-04,2025-07-04,23,23
SO-000307,2025-07-04,2025-07-04,2025-07-04,14,14
SO-000308,2025-07-04,2025-07-04,2025-07-04,6,6
SO-000309,2025-07-04,2025-07-04,2025-07-04,4,4
SO-000310,2025-07-04,2025-07-04,2025-07-04,15,15
SO-000311,2025-07-04,2025-07-04,2025-07-04,4,4
SO-000312,2025-07-04,2025-07-04,2025-07-04,7,7
SO-000313,2025-07-04,2025-07-04,2025-07-04,11,11
SO-000314,2025-07-05,2025-07-05,2025-07-05,3,3
SO-000315,2025-07-05,2025-07-05,2025-07-05,7,7
SO-000316,2025-07-05,2025-07-05,2025-07-06,6,6
SO-000317,2025-07-05,2025-07-05,2025-07-05,5,5
SO-000318,2025-07-05,2025-07-05,2025-07-05,14,14
SO-000319,2025-07-05,2025-07-05,2025-07-05,9,9
SO-000320,2025-07-05,2025-07-05,2025-07-05,4,4
SO-000321,2025-07-05,2025-07-05,2025-07-05,22,22
SO-000322,2025-07-05,2025-07-05,2025-07-06,1,1
SO-000323,2025-07-05,2025-07-05,2025-07-05,4,4
SO-000324,2025-07-05,2025-07-05,2025-07-05,2,2
SO-000325,2025-07-05,2025-07-05,2025-07-06,7,7
SO-000326,2025-07-05,2025-07-05,2025-07-05,4,4
SO-000327,2025-07-05,2025-07-05,2025-07-05,9,8
SO-000328,2025-07-05,2025-07-05,2025-07-05,5,5
SO-000329,2025-07-05,2025-07-05,2025-07-05,5,4
SO-000330,2025-07-05,2025-07-05,2025-07-05,2,2
SO-000331,2025-07-05,2025-07-05,2025-07-05,15,15
SO-000332,2025-07-05,2025-07-05,2025-07-05,3,3
SO-000333,2025-07-05,2025-07-05,2025-07-05,20,20
SO-000334,2025-07-05,2025-07-05,2025-07-05,1,1
SO-000335,2025-07-05,2025-07-05,2025-07-05,7,7
SO-000336,2025-07-05,2025-07-05,2025-07-05,11,11
SO-000337,2025-07-05,2025-07-05,2025-07-05,6,6
SO-000338,2025-07-05,2025-07-05,2025-07-05,4,4
SO-000339,2025-07-05,2025-07-05,2025-07-05,9,9
SO-000340,2025-07-05,2025-07-05,2025-07-05,6,6
SO-000341,2025-07-05,2025-07-05,2025-07-05,5,5
SO-000342,2025-07-05,2025-07-05,2025-07-05,29,29
SO-000343,2025-07-05,2025-07-05,2025-07-05,3,3
SO-000344,2025-07-05,2025-07-05,2025-07-05,11,11
SO-000345,2025-07-05,2025-07-05,2025-07-05,4,4
SO-000346,2025-07-05,2025-07-05,2025-07-06,8,8
SO-000347,2025-07-05,2025-07-05,2025-07-05,20,20
SO-000348,2025-07-05,2025-07-05,2025-07-05,2,2
SO-000349,2025-07-05,2025-07-05,2025-07-05,4,4
SO-000350,2025-07-05,2025-07-05,2025-07-05,12,12
SO-000351,2025-07-05,2025-07-05,2025-07-05,10,10
SO-000352,2025-07-05,2025-07-05,2025-07-05,2,2
SO-000353,2025-07-05,2025-07-05,2025-07-06,5,5
SO-000354,2025-07-05,2025-07-05,2025-07-05,1,1
SO-000355,2025-07-05,2025-07-05,2025-07-05,2,2
SO-000356,2025-07-05,2025-07-05,2025-07-05,31,31
SO-000357,2025-07-05,2025-07-05,2025-07-05,9,9
SO-000358,2025-07-05,2025-07-05,2025-07-05,8,8
SO-000359,2025-07-05,2025-07-05,2025-07-05,10,10
SO-000360,2025-07-05,2025-07-05,2025-07-05,2,2
SO-000361,2025-07-05,2025-07-05,2025-07-05,11,11
SO-000362,2025-07-05,2025-07-05,2025-07-05,9,9
SO-000363,2025-07-05,2025-07-05,2025-07-06,15,15
SO-000364,2025-07-05,2025-07-05,2025-07-05,2,2
SO-000365,2025-07-05,2025-07-05,2025-07-05,13,13
SO-000366,2025-07-05,2025-07-05,2025-07-06,5,5
SO-000367,2025-07-05,2025-07-05,2025-07-05,4,4
SO-000368,2025-07-05,2025-07-05,2025-07-05,7,7
SO-000369,2025-07-05,2025-07-05,2025-07-05,9,9
SO-000370,2025-07-05,2025-07-05,2025-07-05,8,8
SO-000371,2025-07-05,2025-07-05,2025-07-05,7,7
SO-000372,2025-07-05,2025-07-05,2025-07-05,21,21
SO-000373,2025-07-05,2025-07-05,2025-07-05,9,9
SO-000374,2025-07-05,2025-07-05,2025-07-05,2,2
SO-000375,2025-07-05,2025-07-05,2025-07-05,21,21
SO-000376,2025-07-05,2025-07-05,2025-07-05,20,20
SO-000377,2025-07-05,2025-07-05,2025-07-05,6,6
SO-000378,2025-07-05,2025-07-05,2025-07-05,1,1
SO-000379,2025-07-05,2025-07-05,2025-07-05,4,4
SO-000380,2025-07-05,2025-07-05,2025-07-05,8,8
SO-000381,2025-07-05,2025-07-05,2025-07-05,2,2
SO-000382,2025-07-05,2025-07-05,2025-07-05,7,7
SO-000383,2025-07-05,2025-07-05,2025-07-05,10,10
SO-000384,2025-07-05,2025-07-05,2025-07-05,2,2
SO-000385,2025-07-05,2025-07-05,2025-07-05,3,3
SO-000386,2025-07-05,2025-07-05,2025-07-05,4,4
SO-000387,2025-07-05,2025-07-05,2025-07-05,14,14
SO-000388,2025-07-05,2025-07-05,2025-07-05,5,5
SO-000389,2025-07-05,2025-07-05,2025-07-05,3,3
SO-000390,2025-07-05,2025-07-05,2025-07-05,20,17
SO-000391,2025-07-05,2025-07-05,2025-07-05,12,12
SO-000392,2025-07-05,2025-07-05,2025-07-06,11,11
SO-000393,2025-07-05,2025-07-05,2025-07-06,8,8
SO-000394,2025-07-05,2025-07-05,2025-07-05,11,11
SO-000395,2025-07-07,2025-07-07,2025-07-07,9,9
SO-000396,2025-07-07,2025-07-07,2025-07-07,7,7
SO-000397,2025-07-07,2025-07-07,2025-07-07,4,4
SO-000398,2025-07-07,2025-07-07,2025-07-07,7,7
SO-000399,2025-07-07,2025-07-07,2025-07-07,13,13
SO-000400,2025-07-07,2025-07-07,2025-07-07,8,8
SO-000401,2025-07-07,2025-07-07,2025-07-07,11,11
SO-000402,2025-07-07,2025-07-07,2025-07-07,8,8
SO-000403,2025-07-07,2025-07-07,2025-07-07,3,3
SO-000404,2025-07-07,2025-07-07,2025-07-07,8,8
SO-000405,2025-07-07,2025-07-07,2025-07-07,5,5
SO-000406,2025-07-07,2025-07-07,2025-07-07,18,18
SO-000407,2025-07-07,2025-07-07,2025-07-07,3,3
SO-000408,2025-07-07,2025-07-07,2025-07-07,6,6
SO-000409,2025-07-07,2025-07-07,2025-07-07,12,12
SO-000410,2025-07-07,2025-07-07,2025-07-08,13,13
SO-000411,2025-07-07,2025-07-07,2025-07-07,4,4
SO-000412,2025-07-07,2025-07-07,2025-07-07,5,5
SO-000413,2025-07-07,2025-07-07,2025-07-07,4,4
SO-000414,2025-07-07,2025-07-07,2025-07-07,5,5
SO-000415,2025-07-07,2025-07-07,2025-07-07,8,8
SO-000416,2025-07-07,2025-07-07,2025-07-08,5,5
SO-000417,2025-07-07,2025-07-07,2025-07-08,2,2
SO-000418,2025-07-07,2025-07-07,2025-07-07,2,2
SO-000419,2025-07-07,2025-07-07,2025-07-07,3,3
SO-000420,2025-07-07,2025-07-07,2025-07-07,17,17
SO-000421,2025-07-07,2025-07-07,2025-07-07,32,32
SO-000422,2025-07-07,2025-07-07,2025-07-07,12,12
SO-000423,2025-07-07,2025-07-07,2025-07-07,5,5
SO-000424,2025-07-07,2025-07-07,2025-07-07,10,10
SO-000425,2025-07-07,2025-07-07,2025-07-07,10,10
SO-000426,2025-07-07,2025-07-07,2025-07-08,3,3
SO-000427,2025-07-07,2025-07-07,2025-07-07,16,16
SO-000428,2025-07-07,2025-07-07,2025-07-07,8,8
SO-000429,2025-07-07,2025-07-07,2025-07-07,6,5
SO-000430,2025-07-07,2025-07-07,2025-07-07,8,8
SO-000431,2025-07-07,2025-07-07,2025-07-07,3,3
SO-000432,2025-07-07,2025-07-07,2025-07-07,3,3
SO-000433,2025-07-07,2025-07-07,2025-07-07,12,12
SO-000434,2025-07-07,2025-07-07,2025-07-07,4,4
SO-000435,2025-07-07,2025-07-07,2025-07-07,4,4
SO-000436,2025-07-07,2025-07-07,2025-07-07,8,8
SO-000437,2025-07-07,2025-07-07,2025-07-07,22,22
SO-000438,2025-07-07,2025-07-07,2025-07-07,52,52
SO-000439,2025-07-07,2025-07-07,2025-07-07,5,5
SO-000440,2025-07-07,2025-07-07,2025-07-07,3,3
SO-000441,2025-07-07,2025-07-07,2025-07-07,6,6
SO-000442,2025-07-07,2025-07-07,2025-07-07,6,6
SO-000443,2025-07-07,2025-07-07,2025-07-08,8,8
SO-000444,2025-07-07,2025-07-07,2025-07-07,11,11
SO-000445,2025-07-07,2025-07-07,2025-07-07,6,6
SO-000446,2025-07-07,2025-07-07,2025-07-07,6,6
SO-000447,2025-07-07,2025-07-07,2025-07-07,3,3
SO-000448,2025-07-07,2025-07-07,2025-07-07,1,1
