session_date,operative_id,zone,hours_worked,lines_picked,units_picked,mispicks
2025-07-05,OP-019,Ambient Pick,1.95,153,431,0
2025-07-05,OP-019,Bulk,5.19,217,644,0
2025-07-05,OP-020,Ambient Pick,6.08,442,855,0
2025-07-05,OP-021,Chilled Pick,7.36,530,956,1
2025-07-05,OP-025,Ambient Pick,5.15,454,1221,1
2025-07-05,OP-025,Bulk,2.08,87,191,0
2025-07-05,OP-026,Bulk,7.84,436,858,0
2025-07-05,OP-027,Ambient Pick,6.91,557,1582,1
2025-07-05,OP-027,Bulk,1.18,55,145,0
2025-07-05,OP-032,Bulk,7.64,425,844,1
2025-07-05,OP-033,Ambient Pick,7.57,623,1442,2
2025-07-05,OP-035,Chilled Pick,3.85,225,742,2
2025-07-05,OP-035,Ambient Pick,4.33,344,813,6
2025-07-05,OP-036,Bulk,7.75,410,1232,0
2025-07-05,OP-037,Ambient Pick,7.03,515,1176,2
2025-07-05,OP-038,Ambient Pick,7.5,432,891,3
2025-07-05,OP-040,Ambient Pick,7.34,716,1265,13
2025-07-05,OP-042,Bulk,6.36,321,842,2
2025-07-05,OP-044,Ambient Pick,2.87,157,297,1
2025-07-05,OP-044,Chilled Pick,3.54,135,277,1
2025-07-05,OP-046,Bulk,6.66,271,833,2
2025-07-05,OP-048,Bulk,8.33,335,694,0
2025-07-07,OP-001,Bulk,7.67,387,620,4
2025-07-07,OP-002,Ambient Pick,6.98,735,1574,3
2025-07-07,OP-002,Returns,0.74,31,64,1
2025-07-07,OP-004,Bulk,8.31,410,1010,0
2025-07-07,OP-005,Ambient Pick,7.42,821,1600,4
2025-07-07,OP-007,Ambient Pick,8.06,481,980,2
2025-07-07,OP-009,Chilled Pick,6.94,496,1397,2
2025-07-07,OP-010,Ambient Pick,3.88,369,1077,2
2025-07-07,OP-010,Chilled Pick,3.67,288,874,0
2025-07-07,OP-012,Ambient Pick,5.86,608,1840,2
2025-07-07,OP-012,Chilled Pick,2.09,186,458,0
2025-07-07,OP-013,Ambient Pick,7.53,706,1886,5
2025-07-07,OP-017,Ambient Pick,6.31,473,905,2
2025-07-07,OP-017,Bulk,2.31,116,227,0
2025-07-07,OP-018,Chilled Pick,7.38,688,1784,5
2025-07-07,OP-019,Ambient Pick,7.2,689,2078,5
2025-07-07,OP-020,Ambient Pick,5.45,506,820,5
2025-07-07,OP-020,Chilled Pick,3.21,236,544,7
2025-07-07,OP-021,Chilled Pick,6.81,507,1683,3
2025-07-07,OP-022,Ambient Pick,8.2,654,2134,3
2025-07-07,OP-025,Chilled Pick,7.6,616,1970,4
2025-07-07,OP-026,Chilled Pick,6.98,584,1934,3
2025-07-07,OP-027,Bulk,7.89,409,1228,4
2025-07-07,OP-028,Ambient Pick,8.03,786,1347,5
2025-07-07,OP-029,Ambient Pick,8.36,656,1739,2
2025-07-07,OP-032,Ambient Pick,8.76,963,1760,4
2025-07-07,OP-034,Bulk,7.64,374,961,1
2025-07-07,OP-035,Chilled Pick,3.91,287,771,6
2025-07-07,OP-035,Bulk,3.77,195,485,0
2025-07-07,OP-036,Ambient Pick,8.16,871,2067,3
2025-07-07,OP-037,Ambient Pick,7.2,697,2066,5
2025-07-07,OP-037,Bulk,1.08,65,190,0
2025-07-07,OP-038,Ambient Pick,8.04,602,1222,5
2025-07-07,OP-040,Ambient Pick,6.7,856,1522,9
2025-07-07,OP-042,Chilled Pick,8.03,621,1077,4
2025-07-07,OP-044,Chilled Pick,6.87,368,1037,5
2025-07-07,OP-046,Chilled Pick,7.23,513,823,5
2025-07-07,OP-048,Ambient Pick,7.36,564,1873,6
2025-07-08,OP-001,Ambient Pick,7.69,691,1801,4
2025-07-08,OP-002,Chilled Pick,8.56,600,1359,6
2025-07-08,OP-004,Ambient Pick,7.52,605,1038,2
2025-07-08,OP-005,Ambient Pick,7.57,626,1194,2
2025-07-08,OP-007,Bulk,7.32,225,722,2
2025-07-08,OP-010,Ambient Pick,9.01,736,1280,2
2025-07-08,OP-012,Chilled Pick,8.91,633,1560,2
2025-07-08,OP-013,Bulk,6.56,314,901,0
2025-07-08,OP-017,Ambient Pick,2.09,177,464,1
2025-07-08,OP-017,Chilled Pick,5.13,313,622,3
2025-07-08,OP-018,Ambient Pick,1.77,158,462,1
2025-07-08,OP-018,Chilled Pick,5.79,373,1058,0
2025-07-08,OP-019,Ambient Pick,7.52,557,1298,1
2025-07-08,OP-020,Ambient Pick,8.18,670,1726,0
2025-07-08,OP-021,Ambient Pick,7.78,703,1843,1
2025-07-08,OP-022,Bulk,7.24,299,516,0
2025-07-08,OP-026,Bulk,7.78,382,1218,2
2025-07-08,OP-027,Chilled Pick,7.56,445,741,1
2025-07-08,OP-028,Ambient Pick,5.6,437,864,0
2025-07-08,OP-028,Chilled Pick,1.71,99,306,1
2025-07-08,OP-029,Bulk,8.39,307,858,0
2025-07-08,OP-032,Ambient Pick,7.31,725,1775,4
2025-07-08,OP-033,Ambient Pick,7.18,669,1073,4
2025-07-08,OP-034,Ambient Pick,7.29,561,1253,4
2025-07-08,OP-035,Ambient Pick,7.92,604,1104,4
2025-07-08,OP-036,Ambient Pick,7.73,850,2750,1
2025-07-08,OP-037,Ambient Pick,7.71,594,1965,1
2025-07-08,OP-038,Ambient Pick,7.84,512,914,3
2025-07-08,OP-040,Bulk,4.82,249,711,1
2025-07-08,OP-040,Ambient Pick,2.46,244,421,0
2025-07-08,OP-042,Returns,6.71,261,592,0
2025-07-08,OP-044,Chilled Pick,7.78,332,946,2
2025-07-08,OP-046,Ambient Pick,3.92,270,445,1
2025-07-08,OP-046,Bulk,2.75,109,190,2
2025-07-09,OP-001,Chilled Pick,6.86,442,1167,4
2025-07-09,OP-002,Chilled Pick,7.51,531,1574,1
2025-07-09,OP-004,Chilled Pick,8.24,515,837,3
2025-07-09,OP-005,Ambient Pick,8.16,666,1979,4
2025-07-09,OP-007,Ambient Pick,6.47,362,747,2
2025-07-09,OP-009,Ambient Pick,7.0,470,1483,1
2025-07-09,OP-009,Chilled Pick,0.76,37,62,0
2025-07-09,OP-010,Ambient Pick,6.98,590,1974,5
2025-07-09,OP-012,Chilled Pick,7.86,572,1395,3
2025-07-09,OP-013,Ambient Pick,7.53,640,1539,0
2025-07-09,OP-017,Chilled Pick,7.52,518,1741,4
2025-07-09,OP-018,Bulk,6.86,284,515,0
2025-07-09,OP-018,Ambient Pick,1.1,93,218,0
2025-07-09,OP-019,Chilled Pick,7.17,432,871,0
2025-07-09,OP-020,Chilled Pick,8.27,523,1260,2
2025-07-09,OP-021,Ambient Pick,7.22,734,2116,3
2025-07-09,OP-022,Bulk,7.28,241,637,1
2025-07-09,OP-026,Ambient Pick,1.27,109,204,0
2025-07-09,OP-026,Bulk,6.65,358,901,0
2025-07-09,OP-027,Bulk,4.29,179,506,0
2025-07-09,OP-027,Returns,3.28,113,289,1
2025-07-09,OP-029,Bulk,7.67,363,1144,0
2025-07-09,OP-032,Ambient Pick,8.08,801,2635,5
2025-07-09,OP-033,Bulk,1.15,58,187,1
2025-07-09,OP-033,Ambient Pick,7.4,616,1775,2
2025-07-09,OP-034,Ambient Pick,7.81,584,1904,2
2025-07-09,OP-035,Chilled Pick,3.98,294,716,5
2025-07-09,OP-035,Ambient Pick,3.96,301,485,2
2025-07-09,OP-036,Bulk,7.97,452,1193,0
2025-07-09,OP-037,Ambient Pick,6.76,539,1179,5
2025-07-09,OP-038,Ambient Pick,7.01,424,723,1
2025-07-09,OP-040,Ambient Pick,0.69,71,227,1
2025-07-09,OP-040,Bulk,5.94,339,765,3
2025-07-09,OP-042,Bulk,7.99,342,1095,0
2025-07-09,OP-044,Ambient Pick,8.47,487,1070,1
2025-07-09,OP-046,Ambient Pick,7.86,569,956,1
2025-07-09,OP-048,Ambient Pick,1.5,115,248,1
2025-07-09,OP-048,Returns,6.13,218,470,2
2025-07-10,OP-001,Ambient Pick,2.79,226,561,1
2025-07-10,OP-001,Chilled Pick,3.98,229,449,2
2025-07-10,OP-002,Chilled Pick,6.6,403,1044,1
2025-07-10,OP-004,Ambient Pick,1.11,86,230,0
2025-07-10,OP-004,Chilled Pick,4.81,320,942,1
2025-07-10,OP-005,Ambient Pick,7.04,607,1200,2
2025-07-10,OP-007,Chilled Pick,8.44,377,1140,0
2025-07-10,OP-009,Chilled Pick,7.37,384,696,1
2025-07-10,OP-010,Ambient Pick,0.8,67,157,0
2025-07-10,OP-010,Bulk,6.43,338,1027,1
2025-07-10,OP-012,Ambient Pick,7.62,770,2526,4
2025-07-10,OP-013,Returns,8.97,292,940,0
2025-07-10,OP-017,Bulk,4.78,221,468,0
2025-07-10,OP-017,Ambient Pick,2.4,204,689,0
2025-07-10,OP-018,Bulk,8.71,384,998,1
2025-07-10,OP-018,Chilled Pick,0.54,40,119,0
2025-07-10,OP-019,Ambient Pick,7.8,580,1126,1
2025-07-10,OP-020,Ambient Pick,8.14,662,2007,4
2025-07-10,OP-021,Ambient Pick,8.02,632,1461,2
2025-07-10,OP-022,Ambient Pick,6.58,425,1199,2
2025-07-10,OP-025,Bulk,6.82,326,577,0
2025-07-10,OP-026,Ambient Pick,3.55,286,813,0
2025-07-10,OP-026,Bulk,3.79,195,463,1
2025-07-10,OP-027,Ambient Pick,7.82,565,923,0
2025-07-10,OP-028,Ambient Pick,7.62,619,1451,1
2025-07-10,OP-029,Chilled Pick,8.49,495,1270,2
2025-07-10,OP-032,Chilled Pick,7.92,678,1864,3
2025-07-10,OP-033,Ambient Pick,8.16,797,2198,2
2025-07-10,OP-034,Bulk,8.14,368,779,1
2025-07-10,OP-035,Bulk,6.95,295,637,1
2025-07-10,OP-037,Bulk,6.31,333,913,0
2025-07-10,OP-037,Chilled Pick,2.05,135,457,1
2025-07-10,OP-038,Ambient Pick,2.98,190,638,3
2025-07-10,OP-038,Returns,5.18,136,437,0
2025-07-10,OP-040,Ambient Pick,8.2,758,1713,9
2025-07-10,OP-042,Chilled Pick,7.16,476,1593,2
2025-07-10,OP-046,Chilled Pick,7.3,344,981,3
2025-07-10,OP-048,Ambient Pick,5.33,381,1088,7
2025-07-10,OP-048,Returns,1.6,56,126,4
2025-07-11,OP-001,Ambient Pick,6.67,558,1419,0
2025-07-11,OP-002,Chilled Pick,6.68,438,1122,1
2025-07-11,OP-004,Bulk,7.88,357,826,0
2025-07-11,OP-005,Chilled Pick,0.94,66,106,2
2025-07-11,OP-005,Ambient Pick,6.8,615,1995,10
2025-07-11,OP-007,Ambient Pick,7.36,396,1177,5
2025-07-11,OP-010,Ambient Pick,8.51,757,1737,1
2025-07-11,OP-012,Ambient Pick,7.77,704,2232,2
2025-07-11,OP-013,Chilled Pick,7.49,487,1350,0
2025-07-11,OP-017,Chilled Pick,6.33,413,1367,3
2025-07-11,OP-019,Bulk,8.57,340,1053,0
2025-07-11,OP-020,Bulk,1.84,83,140,0
2025-07-11,OP-020,Returns,6.11,221,630,2
2025-07-11,OP-021,Bulk,4.0,199,602,0
2025-07-11,OP-021,Ambient Pick,3.04,244,501,3
2025-07-11,OP-022,Chilled Pick,7.41,324,951,3
2025-07-11,OP-025,Ambient Pick,7.4,672,1253,2
2025-07-11,OP-026,Chilled Pick,5.28,375,1141,1
2025-07-11,OP-026,Ambient Pick,3.17,324,651,2
2025-07-11,OP-027,Ambient Pick,8.76,751,1497,2
2025-07-11,OP-028,Ambient Pick,7.92,680,2300,1
2025-07-11,OP-029,Ambient Pick,5.64,418,800,2
2025-07-11,OP-029,Chilled Pick,1.55,94,288,0
2025-07-11,OP-032,Bulk,7.7,429,782,4
2025-07-11,OP-033,Bulk,2.29,111,375,0
2025-07-11,OP-033,Ambient Pick,4.97,473,795,3
2025-07-11,OP-034,Ambient Pick,3.47,288,962,1
2025-07-11,OP-034,Bulk,3.89,163,457,0
2025-07-11,OP-036,Returns,7.08,315,886,1
2025-07-11,OP-037,Ambient Pick,7.92,644,2046,2
2025-07-11,OP-038,Bulk,7.05,243,684,1
2025-07-11,OP-040,Chilled Pick,6.91,579,1130,8
2025-07-11,OP-042,Returns,4.56,168,444,3
2025-07-11,OP-042,Chilled Pick,2.59,172,527,1
2025-07-11,OP-044,Bulk,7.88,237,425,0
2025-07-11,OP-046,Chilled Pick,7.02,368,652,1
2025-07-11,OP-048,Returns,1.68,53,131,0
2025-07-11,OP-048,Chilled Pick,6.5,393,1044,6
2025-07-12,OP-002,Chilled Pick,1.13,68,174,1
2025-07-12,OP-002,Bulk,5.64,282,807,2
2025-07-12,OP-004,Ambient Pick,7.26,531,1410,3
2025-07-12,OP-005,Ambient Pick,8.65,867,2753,2
2025-07-12,OP-007,Ambient Pick,7.24,437,1379,5
2025-07-12,OP-009,Chilled Pick,3.89,199,661,2
2025-07-12,OP-009,Bulk,4.18,157,291,1
2025-07-12,OP-012,Returns,7.21,294,643,1
2025-07-12,OP-013,Ambient Pick,8.28,603,1309,1
2025-07-12,OP-017,Bulk,7.52,345,926,0
2025-07-12,OP-018,Chilled Pick,7.38,485,1309,0
2025-07-12,OP-019,Bulk,8.89,364,903,0
2025-07-12,OP-021,Ambient Pick,7.66,718,2154,4
2025-07-12,OP-022,Chilled Pick,6.99,347,761,1
2025-07-12,OP-025,Ambient Pick,6.48,610,1741,1
2025-07-12,OP-026,Ambient Pick,8.21,769,2080,5
2025-07-12,OP-027,Bulk,8.43,345,968,0
2025-07-12,OP-028,Bulk,8.18,375,1207,0
2025-07-12,OP-029,Chilled Pick,7.05,411,1068,1
2025-07-12,OP-032,Chilled Pick,2.54,189,529,2
2025-07-12,OP-032,Ambient Pick,3.83,348,934,2
2025-07-12,OP-033,Ambient Pick,7.96,708,1861,2
2025-07-12,OP-034,Chilled Pick,6.64,389,1061,2
2025-07-12,OP-034,Ambient Pick,1.33,96,225,0
2025-07-12,OP-035,Bulk,8.68,379,805,0
2025-07-12,OP-036,Ambient Pick,1.08,122,243,1
2025-07-12,OP-036,Returns,6.61,282,641,1
2025-07-12,OP-037,Bulk,7.67,360,781,1
2025-07-12,OP-038,Ambient Pick,7.75,512,1696,2
2025-07-12,OP-040,Ambient Pick,6.8,636,1405,2
2025-07-12,OP-040,Chilled Pick,1.19,94,153,1
2025-07-12,OP-042,Ambient Pick,8.06,737,1262,3
2025-07-12,OP-048,Ambient Pick,7.22,552,1365,5
2025-07-14,OP-002,Chilled Pick,4.96,397,1066,4
2025-07-14,OP-002,Ambient Pick,3.28,316,533,1
2025-07-14,OP-005,Chilled Pick,8.01,691,1761,11
2025-07-14,OP-007,Chilled Pick,7.71,392,809,2
2025-07-14,OP-009,Ambient Pick,4.18,330,810,0
2025-07-14,OP-009,Returns,3.69,138,353,1
2025-07-14,OP-010,Bulk,7.46,399,1043,0
2025-07-14,OP-013,Ambient Pick,7.95,753,2177,2
2025-07-14,OP-017,Chilled Pick,7.65,631,1079,6
2025-07-14,OP-018,Chilled Pick,7.61,621,2034,0
2025-07-14,OP-019,Ambient Pick,7.42,751,2500,5
2025-07-14,OP-021,Ambient Pick,4.09,419,1290,2
2025-07-14,OP-021,Chilled Pick,2.29,182,364,1
2025-07-14,OP-022,Ambient Pick,7.49,634,1562,4
2025-07-14,OP-025,Bulk,8.04,490,1441,0
2025-07-14,OP-026,Bulk,7.59,423,1120,4
2025-07-14,OP-027,Chilled Pick,7.91,534,1683,0
2025-07-14,OP-028,Ambient Pick,8.29,755,2045,4
2025-07-14,OP-029,Returns,5.28,217,682,5
2025-07-14,OP-029,Bulk,1.87,101,333,0
2025-07-14,OP-033,Chilled Pick,7.62,657,1984,2
2025-07-14,OP-034,Ambient Pick,7.61,603,1756,2
2025-07-14,OP-035,Bulk,8.16,491,1304,5
2025-07-14,OP-036,Ambient Pick,5.72,666,1163,0
2025-07-14,OP-036,Returns,2.52,133,379,0
2025-07-14,OP-038,Bulk,7.85,344,672,2
2025-07-14,OP-040,Chilled Pick,7.75,740,2383,8
2025-07-14,OP-042,Ambient Pick,7.56,749,1732,6
2025-07-14,OP-044,Chilled Pick,2.39,101,220,1
2025-07-14,OP-044,Ambient Pick,4.23,304,759,1
2025-07-14,OP-048,Ambient Pick,8.24,616,1299,3
2025-07-15,OP-002,Chilled Pick,7.9,460,1435,1
2025-07-15,OP-004,Bulk,6.37,282,752,0
2025-07-15,OP-004,Ambient Pick,1.18,93,212,0
2025-07-15,OP-005,Ambient Pick,7.68,652,1076,1
2025-07-15,OP-007,Ambient Pick,7.55,430,925,5
2025-07-15,OP-009,Chilled Pick,7.09,446,1125,3
2025-07-15,OP-010,Ambient Pick,8.11,722,2431,2
2025-07-15,OP-012,Bulk,7.29,350,1051,1
2025-07-15,OP-013,Ambient Pick,7.78,658,1317,5
2025-07-15,OP-017,Bulk,7.3,356,702,1
2025-07-15,OP-018,Chilled Pick,3.55,240,499,1
2025-07-15,OP-018,Ambient Pick,4.17,347,741,0
2025-07-15,OP-019,Ambient Pick,7.96,575,1154,1
2025-07-15,OP-020,Chilled Pick,7.32,425,1335,1
2025-07-15,OP-021,Returns,6.95,289,577,4
2025-07-15,OP-022,Returns,8.91,258,488,1
2025-07-15,OP-025,Ambient Pick,4.59,369,1250,2
2025-07-15,OP-025,Chilled Pick,3.79,282,880,2
2025-07-15,OP-026,Ambient Pick,8.46,703,1801,1
2025-07-15,OP-027,Ambient Pick,8.04,609,1418,2
2025-07-15,OP-028,Bulk,3.98,174,293,1
2025-07-15,OP-028,Ambient Pick,3.5,297,865,3
2025-07-15,OP-029,Ambient Pick,3.82,272,885,0
2025-07-15,OP-029,Chilled Pick,3.86,235,613,4
2025-07-15,OP-032,Bulk,6.66,401,1295,1
2025-07-15,OP-033,Ambient Pick,0.99,97,296,0
2025-07-15,OP-033,Bulk,6.83,312,676,1
2025-07-15,OP-034,Chilled Pick,6.86,490,1128,5
2025-07-15,OP-035,Ambient Pick,8.62,662,1929,2
2025-07-15,OP-036,Ambient Pick,7.24,831,1772,2
2025-07-15,OP-037,Bulk,0.8,38,122,0
2025-07-15,OP-037,Ambient Pick,7.01,576,1615,4
2025-07-15,OP-038,Ambient Pick,1.62,116,386,1
2025-07-15,OP-038,Bulk,6.74,251,445,2
2025-07-15,OP-040,Bulk,6.88,374,1146,4
2025-07-15,OP-042,Chilled Pick,6.47,417,1219,2
2025-07-15,OP-042,Bulk,1.16,56,96,0
2025-07-15,OP-044,Ambient Pick,7.42,390,767,2
2025-07-15,OP-046,Chilled Pick,7.53,394,1012,5
2025-07-15,OP-048,Ambient Pick,7.5,557,1570,3
2025-07-16,OP-001,Chilled Pick,8.35,549,1755,2
2025-07-16,OP-004,Ambient Pick,7.67,625,1986,1
2025-07-16,OP-005,Ambient Pick,6.88,588,1577,3
2025-07-16,OP-007,Ambient Pick,7.41,469,1131,5
2025-07-16,OP-009,Ambient Pick,0.74,55,125,0
2025-07-16,OP-009,Bulk,7.13,287,926,0
2025-07-16,OP-012,Ambient Pick,7.29,690,2180,4
2025-07-16,OP-012,Chilled Pick,0.91,65,128,0
2025-07-16,OP-013,Ambient Pick,4.42,362,826,0
2025-07-16,OP-013,Chilled Pick,2.61,158,482,0
2025-07-16,OP-017,Ambient Pick,7.57,673,2274,3
2025-07-16,OP-018,Chilled Pick,3.95,257,823,0
2025-07-16,OP-018,Bulk,3.87,208,381,1
2025-07-16,OP-019,Ambient Pick,7.01,453,817,0
2025-07-16,OP-020,Bulk,6.63,299,960,0
2025-07-16,OP-021,Ambient Pick,7.9,788,2452,4
2025-07-16,OP-022,Ambient Pick,7.2,472,885,1
2025-07-16,OP-025,Chilled Pick,6.99,504,1094,2
2025-07-16,OP-026,Bulk,5.79,288,766,1
2025-07-16,OP-026,Chilled Pick,1.59,133,379,0
2025-07-16,OP-027,Chilled Pick,2.56,157,395,0
2025-07-16,OP-027,Bulk,4.3,191,322,0
2025-07-16,OP-028,Chilled Pick,8.12,583,1876,7
2025-07-16,OP-029,Chilled Pick,7.67,421,1225,3
2025-07-16,OP-032,Ambient Pick,7.36,657,1867,4
