sku_id,zone,velocity_class,count_date,system_qty,counted_qty
SKU-0002,D,C,2025-07-06,36,36
SKU-0078,B,A,2025-07-06,273,263
SKU-0098,D,B,2025-07-06,110,110
SKU-0126,C,C,2025-07-06,27,27
SKU-0160,A,C,2025-07-06,237,237
SKU-0196,B,B,2025-07-06,162,162
SKU-0207,B,C,2025-07-06,329,329
SKU-0226,B,C,2025-07-06,37,37
SKU-0033,D,C,2025-07-07,46,46
SKU-0044,E,B,2025-07-07,46,46
SKU-0087,B,A,2025-07-07,109,109
SKU-0140,C,A,2025-07-07,52,52
SKU-0194,A,C,2025-07-07,45,45
SKU-0005,A,B,2025-07-08,36,36
SKU-0115,D,C,2025-07-08,67,67
SKU-0168,B,C,2025-07-08,224,224
SKU-0200,C,C,2025-07-08,40,40
SKU-0237,B,C,2025-07-08,42,42
SKU-0007,D,B,2025-07-09,87,87
SKU-0059,B,C,2025-07-09,222,222
SKU-0101,C,B,2025-07-09,38,38
SKU-0120,D,A,2025-07-09,16,16
SKU-0131,C,C,2025-07-09,32,32
SKU-0132,C,C,2025-07-09,13,13
SKU-0133,C,C,2025-07-09,42,42
SKU-0159,B,B,2025-07-09,31,31
SKU-0170,E,A,2025-07-09,70,70
SKU-0215,C,C,2025-07-09,26,26
SKU-0246,D,B,2025-07-09,223,223
SKU-0041,B,C,2025-07-10,99,99
SKU-0045,B,A,2025-07-10,45,45
SKU-0047,A,B,2025-07-10,95,95
SKU-0109,D,B,2025-07-10,80,80
SKU-0112,C,C,2025-07-10,61,61
SKU-0175,E,A,2025-07-10,61,61
SKU-0192,A,C,2025-07-10,123,123
SKU-0020,E,B,2025-07-11,83,83
SKU-0055,D,B,2025-07-11,269,269
SKU-0102,C,A,2025-07-11,46,46
SKU-0111,E,C,2025-07-11,47,47
SKU-0151,B,C,2025-07-11,18,18
SKU-0231,B,C,2025-07-11,11,11
SKU-0243,C,C,2025-07-11,23,23
SKU-0248,A,B,2025-07-11,29,29
SKU-0004,D,C,2025-07-12,117,117
SKU-0014,B,C,2025-07-12,150,150
SKU-0025,A,C,2025-07-12,288,288
SKU-0057,E,A,2025-07-12,175,175
SKU-0088,C,B,2025-07-12,153,153
SKU-0093,A,C,2025-07-12,257,257
SKU-0104,C,A,2025-07-12,217,217
SKU-0130,C,C,2025-07-12,80,80
SKU-0142,D,A,2025-07-12,224,224
SKU-0150,C,A,2025-07-12,22,22
SKU-0190,D,C,2025-07-12,119,119
SKU-0199,C,B,2025-07-12,80,80
SKU-0233,D,A,2025-07-12,47,47
SKU-0245,D,B,2025-07-12,135,135
SKU-0006,D,B,2025-07-13,5,5
SKU-0037,A,B,2025-07-13,171,171
SKU-0092,A,C,2025-07-13,36,36
SKU-0127,C,A,2025-07-13,143,143
SKU-0135,B,B,2025-07-13,327,327
SKU-0181,C,B,2025-07-13,259,259
SKU-0185,C,C,2025-07-13,192,192
SKU-0229,E,C,2025-07-13,32,32
SKU-0023,A,C,2025-07-14,117,117
SKU-0032,B,C,2025-07-14,161,161
SKU-0061,C,A,2025-07-14,203,203
SKU-0068,C,B,2025-07-14,71,68
SKU-0070,C,C,2025-07-14,154,154
SKU-0090,C,C,2025-07-14,308,308
SKU-0165,C,B,2025-07-14,128,128
SKU-0209,A,C,2025-07-14,36,36
SKU-0213,A,A,2025-07-14,59,59
SKU-0224,D,C,2025-07-14,60,60
SKU-0013,A,B,2025-07-15,27,27
SKU-0039,D,B,2025-07-15,89,89
SKU-0100,C,A,2025-07-15,76,76
SKU-0113,E,B,2025-07-15,303,303
SKU-0198,C,B,2025-07-15,35,36
SKU-0202,D,C,2025-07-15,23,23
SKU-0218,E,C,2025-07-15,463,463
SKU-0235,C,C,2025-07-15,200,200
SKU-0008,A,C,2025-07-16,18,18
SKU-0036,B,B,2025-07-16,44,44
SKU-0065,E,A,2025-07-16,288,288
SKU-0091,C,C,2025-07-16,129,129
SKU-0171,C,B,2025-07-16,47,47
SKU-0180,D,B,2025-07-16,160,160
SKU-0184,C,A,2025-07-16,307,307
SKU-0201,D,B,2025-07-16,52,52
SKU-0204,C,B,2025-07-16,77,77
SKU-0219,D,A,2025-07-16,257,257
SKU-0230,C,B,2025-07-16,240,240
SKU-0079,B,C,2025-07-17,135,135
SKU-0097,E,C,2025-07-17,57,57
SKU-0106,B,C,2025-07-17,152,152
SKU-0118,D,C,2025-07-17,58,58
SKU-0189,D,B,2025-07-17,24,24
SKU-0221,E,C,2025-07-17,48,48
SKU-0242,E,B,2025-07-17,43,43
SKU-0053,C,C,2025-07-18,138,138
SKU-0072,A,C,2025-07-18,115,115
SKU-0073,A,C,2025-07-18,117,117
SKU-0157,D,B,2025-07-18,227,227
SKU-0164,A,B,2025-07-18,23,23
SKU-0193,C,C,2025-07-18,42,42
SKU-0015,B,C,2025-07-19,60,60
SKU-0019,D,B,2025-07-19,107,107
SKU-0069,E,B,2025-07-19,60,60
SKU-0077,D,A,2025-07-19,230,230
SKU-0084,B,B,2025-07-19,120,120
SKU-0119,C,C,2025-07-19,61,61
SKU-0144,A,C,2025-07-19,47,47
SKU-0154,C,C,2025-07-19,67,67
SKU-0161,C,C,2025-07-19,17,17
SKU-0197,B,A,2025-07-19,84,84
SKU-0214,A,B,2025-07-19,33,33
SKU-0042,A,B,2025-07-20,81,81
SKU-0051,C,C,2025-07-20,323,323
SKU-0081,B,C,2025-07-20,218,218
SKU-0085,C,C,2025-07-20,134,134
SKU-0089,B,A,2025-07-20,171,171
SKU-0121,D,C,2025-07-20,24,24
SKU-0124,D,B,2025-07-20,86,86
SKU-0156,B,C,2025-07-20,98,98
SKU-0182,B,C,2025-07-20,265,265
SKU-0187,E,C,2025-07-20,151,151
SKU-0210,D,C,2025-07-20,15,15
SKU-0244,D,B,2025-07-20,7,7
SKU-0064,D,B,2025-07-21,18,18
SKU-0086,B,A,2025-07-21,108,108
SKU-0117,C,B,2025-07-21,24,23
SKU-0147,B,C,2025-07-21,40,40
SKU-0178,B,C,2025-07-21,36,36
SKU-0186,A,B,2025-07-21,233,233
SKU-0066,B,C,2025-07-22,164,164
SKU-0082,D,B,2025-07-22,83,83
SKU-0103,E,C,2025-07-22,148,148
SKU-0188,C,C,2025-07-22,16,16
SKU-0203,E,B,2025-07-22,33,33
SKU-0232,C,C,2025-07-22,162,162
SKU-0003,A,B,2025-07-23,260,260
SKU-0028,A,A,2025-07-23,113,113
SKU-0043,A,B,2025-07-23,65,65
SKU-0063,C,C,2025-07-23,137,137
SKU-0094,C,B,2025-07-23,123,123
SKU-0110,D,C,2025-07-23,192,192
SKU-0145,E,B,2025-07-23,11,11
SKU-0146,C,C,2025-07-23,187,187
SKU-0040,D,A,2025-07-24,71,71
SKU-0048,D,B,2025-07-24,44,44
SKU-0052,D,C,2025-07-24,71,71
SKU-0136,E,B,2025-07-24,77,77
SKU-0137,E,C,2025-07-24,56,56
SKU-0183,D,C,2025-07-24,36,36
SKU-0217,D,B,2025-07-24,288,288
SKU-0011,B,C,2025-07-25,96,96
SKU-0026,A,C,2025-07-25,102,102
SKU-0034,B,C,2025-07-25,76,76
SKU-0035,A,B,2025-07-25,178,178
SKU-0071,A,B,2025-07-25,137,137
SKU-0129,D,B,2025-07-25,140,140
SKU-0158,E,B,2025-07-25,92,92
SKU-0169,B,C,2025-07-25,17,17
SKU-0206,D,B,2025-07-25,152,137
SKU-0228,C,A,2025-07-25,14,14
SKU-0234,D,C,2025-07-25,117,117
SKU-0021,B,C,2025-07-26,12,12
SKU-0083,D,B,2025-07-26,568,568
SKU-0096,D,C,2025-07-26,55,55
SKU-0123,B,B,2025-07-26,49,49
SKU-0162,E,B,2025-07-26,44,44
SKU-0211,C,C,2025-07-26,459,459
SKU-0220,D,B,2025-07-26,124,124
SKU-0222,D,A,2025-07-26,57,57
SKU-0236,B,C,2025-07-26,166,166
SKU-0009,A,A,2025-07-27,80,80
SKU-0022,B,B,2025-07-27,83,83
SKU-0031,D,C,2025-07-27,19,19
SKU-0054,E,C,2025-07-27,137,137
SKU-0208,B,C,2025-07-27,338,338
SKU-0216,A,A,2025-07-27,122,122
SKU-0017,B,B,2025-07-28,35,35
SKU-0030,C,B,2025-07-28,43,42
SKU-0056,C,A,2025-07-28,41,41
SKU-0060,D,C,2025-07-28,276,276
SKU-0074,A,C,2025-07-28,41,41
SKU-0114,E,C,2025-07-28,160,160
SKU-0116,E,A,2025-07-28,176,176
SKU-0143,A,B,2025-07-28,77,77
SKU-0212,B,C,2025-07-28,156,156
SKU-0238,E,A,2025-07-28,110,110
SKU-0240,D,C,2025-07-28,42,42
SKU-0241,A,C,2025-07-28,54,54
SKU-0032,B,C,2025-08-01,334,334
SKU-0038,C,C,2025-08-01,18,18
SKU-0043,A,B,2025-08-01,95,95
SKU-0046,B,A,2025-08-01,276,276
SKU-0058,D,A,2025-08-01,43,43
SKU-0071,A,B,2025-08-01,174,174
SKU-0121,D,C,2025-08-01,22,22
SKU-0201,D,B,2025-08-01,64,64
SKU-0202,D,C,2025-08-01,17,17
SKU-0007,D,B,2025-08-02,683,683
SKU-0023,A,C,2025-08-02,474,474
SKU-0026,A,C,2025-08-02,69,69
SKU-0030,C,B,2025-08-02,434,434
SKU-0036,B,B,2025-08-02,116,116
SKU-0042,A,B,2025-08-02,375,375
SKU-0075,B,C,2025-08-02,159,159
SKU-0078,B,A,2025-08-02,87,87
SKU-0137,E,C,2025-08-02,22,22
SKU-0155,E,B,2025-08-02,25,25
SKU-0188,C,C,2025-08-02,106,106
SKU-0210,D,C,2025-08-02,400,400
SKU-0231,B,C,2025-08-02,83,83
SKU-0241,A,C,2025-08-02,92,92
SKU-0045,B,A,2025-08-03,122,122
SKU-0095,A,C,2025-08-03,192,192
SKU-0187,E,C,2025-08-03,70,70
SKU-0003,A,B,2025-08-04,28,28
SKU-0012,D,C,2025-08-04,39,39
SKU-0024,C,B,2025-08-04,103,101
SKU-0076,A,C,2025-08-04,194,194
SKU-0086,B,A,2025-08-04,6,6
SKU-0120,D,A,2025-08-04,31,31
SKU-0142,D,A,2025-08-04,70,70
SKU-0211,C,C,2025-08-04,99,99
SKU-0236,B,C,2025-08-04,178,178
SKU-0014,B,C,2025-08-05,57,57
SKU-0022,B,B,2025-08-05,81,81
SKU-0138,B,B,2025-08-05,156,156
SKU-0169,B,C,2025-08-05,80,80
SKU-0212,B,C,2025-08-05,102,102
SKU-0216,A,A,2025-08-05,59,59
SKU-0219,D,A,2025-08-05,67,74
SKU-0227,A,B,2025-08-05,323,323
SKU-0239,A,C,2025-08-05,115,115
SKU-0246,D,B,2025-08-05,55,55
SKU-0249,B,B,2025-08-05,33,33
SKU-0077,D,A,2025-08-06,131,131
SKU-0094,C,B,2025-08-06,368,368
SKU-0097,E,C,2025-08-06,363,363
SKU-0108,C,B,2025-08-06,103,103
SKU-0109,D,B,2025-08-06,239,239
SKU-0117,C,B,2025-08-06,205,209
SKU-0130,C,C,2025-08-06,116,116
SKU-0174,C,A,2025-08-06,54,54
SKU-0232,C,C,2025-08-06,190,190
SKU-0017,B,B,2025-08-07,198,198
SKU-0068,C,B,2025-08-07,97,97
SKU-0083,D,B,2025-08-07,13,13
SKU-0124,D,B,2025-08-07,105,105
SKU-0140,C,A,2025-08-07,23,24
SKU-0170,E,A,2025-08-07,303,303
SKU-0208,B,C,2025-08-07,42,42
SKU-0247,D,B,2025-08-07,79,79
SKU-0062,C,A,2025-08-08,280,280
SKU-0074,A,C,2025-08-08,146,146
SKU-0089,B,A,2025-08-08,99,99
SKU-0111,E,C,2025-08-08,110,110
SKU-0112,C,C,2025-08-08,73,73
SKU-0141,A,C,2025-08-08,29,29
SKU-0159,B,B,2025-08-08,32,32
SKU-0204,C,B,2025-08-08,521,521
SKU-0223,C,A,2025-08-08,134,134
SKU-0240,D,C,2025-08-08,119,119
SKU-0025,A,C,2025-08-09,101,101
SKU-0054,E,C,2025-08-09,104,104
SKU-0060,D,C,2025-08-09,44,44
SKU-0093,A,C,2025-08-09,163,163
SKU-0158,E,B,2025-08-09,71,71
SKU-0165,C,B,2025-08-09,60,60
SKU-0021,B,C,2025-08-10,123,123
SKU-0041,B,C,2025-08-10,66,66
SKU-0116,E,A,2025-08-10,9,10
SKU-0195,E,A,2025-08-10,65,65
SKU-0199,C,B,2025-08-10,190,190
SKU-0205,C,C,2025-08-10,411,411
SKU-0222,D,A,2025-08-10,209,209
SKU-0228,C,A,2025-08-10,151,152
SKU-0235,C,C,2025-08-10,58,58
SKU-0243,C,C,2025-08-10,18,18
SKU-0015,B,C,2025-08-11,70,70
SKU-0050,A,B,2025-08-11,38,37
SKU-0115,D,C,2025-08-11,76,76
SKU-0128,D,C,2025-08-11,85,85
SKU-0154,C,C,2025-08-11,93,93
SKU-0157,D,B,2025-08-11,155,155
SKU-0172,C,B,2025-08-11,69,74
SKU-0180,D,B,2025-08-11,84,84
SKU-0200,C,C,2025-08-11,111,111
SKU-0245,D,B,2025-08-11,187,187
SKU-0011,B,C,2025-08-12,158,158
SKU-0029,C,B,2025-08-12,594,594
SKU-0044,E,B,2025-08-12,65,65
SKU-0143,A,B,2025-08-12,241,241
SKU-0144,A,C,2025-08-12,12,12
SKU-0173,D,C,2025-08-12,358,358
SKU-0186,A,B,2025-08-12,108,108
SKU-0189,D,B,2025-08-12,193,193
SKU-0224,D,C,2025-08-12,62,62
SKU-0233,D,A,2025-08-12,48,48
SKU-0035,A,B,2025-08-13,103,103
SKU-0047,A,B,2025-08-13,94,94
SKU-0053,C,C,2025-08-13,59,59
SKU-0066,B,C,2025-08-13,468,468
SKU-0103,E,C,2025-08-13,139,139
SKU-0176,B,C,2025-08-13,32,32
SKU-0181,C,B,2025-08-13,158,158
SKU-0005,A,B,2025-08-14,111,111
SKU-0020,E,B,2025-08-14,175,175
SKU-0028,A,A,2025-08-14,222,222
SKU-0057,E,A,2025-08-14,37,37
SKU-0064,D,B,2025-08-14,70,70
SKU-0088,C,B,2025-08-14,37,37
SKU-0100,C,A,2025-08-14,89,89
SKU-0149,C,B,2025-08-14,227,227
SKU-0153,C,C,2025-08-14,75,72
SKU-0161,C,C,2025-08-14,34,34
SKU-0194,A,C,2025-08-14,514,514
SKU-0008,A,C,2025-08-15,17,17
SKU-0013,A,B,2025-08-15,52,52
SKU-0090,C,C,2025-08-15,195,195
SKU-0104,C,A,2025-08-15,16,16
SKU-0132,C,C,2025-08-15,24,24
SKU-0136,E,B,2025-08-15,66,64
SKU-0196,B,B,2025-08-15,35,35
SKU-0207,B,C,2025-08-15,94,94
SKU-0052,D,C,2025-08-16,131,131
SKU-0145,E,B,2025-08-16,42,42
SKU-0152,B,A,2025-08-16,249,249
SKU-0164,A,B,2025-08-16,5,5
SKU-0167,A,C,2025-08-16,65,65
SKU-0179,A,C,2025-08-16,65,65
SKU-0048,D,B,2025-08-17,55,55
SKU-0055,D,B,2025-08-17,39,39
SKU-0072,A,C,2025-08-17,97,97
SKU-0081,B,C,2025-08-17,563,563
SKU-0084,B,B,2025-08-17,52,52
SKU-0091,C,C,2025-08-17,56,56
SKU-0147,B,C,2025-08-17,82,82
SKU-0190,D,C,2025-08-17,50,50
SKU-0016,A,B,2025-08-18,548,548
SKU-0027,C,B,2025-08-18,39,39
SKU-0037,A,B,2025-08-18,99,99
SKU-0049,C,C,2025-08-18,30,30
SKU-0056,C,A,2025-08-18,72,72
SKU-0126,C,C,2025-08-18,17,17
SKU-0148,C,C,2025-08-18,223,223
SKU-0178,B,C,2025-08-18,66,66
SKU-0183,D,C,2025-08-18,31,31
SKU-0217,D,B,2025-08-18,65,65
SKU-0230,C,B,2025-08-18,69,69
SKU-0031,D,C,2025-08-19,122,122
SKU-0092,A,C,2025-08-19,260,260
SKU-0134,B,B,2025-08-19,187,187
SKU-0150,C,A,2025-08-19,109,109
SKU-0168,B,C,2025-08-19,130,130
SKU-0175,E,A,2025-08-19,65,65
SKU-0214,A,B,2025-08-19,74,74
SKU-0080,D,B,2025-08-20,32,32
SKU-0101,C,B,2025-08-20,149,149
SKU-0131,C,C,2025-08-20,26,26
SKU-0162,E,B,2025-08-20,46,46
SKU-0185,C,C,2025-08-20,186,186
SKU-0213,A,A,2025-08-20,30,30
SKU-0238,E,A,2025-08-20,69,69
SKU-0244,D,B,2025-08-20,45,45
SKU-0001,B,C,2025-08-21,61,61
SKU-0018,D,B,2025-08-21,35,35
SKU-0051,C,C,2025-08-21,42,42
SKU-0061,C,A,2025-08-21,12,12
SKU-0067,C,C,2025-08-21,13,13
SKU-0073,A,C,2025-08-21,20,20
SKU-0099,B,A,2025-08-21,124,124
SKU-0106,B,C,2025-08-21,92,92
SKU-0113,E,B,2025-08-21,164,164
SKU-0125,D,B,2025-08-21,128,128
SKU-0135,B,B,2025-08-21,11,11
SKU-0139,E,B,2025-08-21,384,384
SKU-0151,B,C,2025-08-21,71,71
SKU-0004,D,C,2025-08-22,209,209
SKU-0085,C,C,2025-08-22,73,73
SKU-0122,D,C,2025-08-22,116,116
SKU-0191,C,A,2025-08-22,20,19
SKU-0192,A,C,2025-08-22,36,36
SKU-0198,C,B,2025-08-22,40,40
SKU-0206,D,B,2025-08-22,12,12
SKU-0229,E,C,2025-08-22,42,42
SKU-0002,D,C,2025-08-23,7,7
SKU-0019,D,B,2025-08-23,42,42
SKU-0033,D,C,2025-08-23,183,183
SKU-0059,B,C,2025-08-23,166,166
SKU-0065,E,A,2025-08-23,151,151
SKU-0082,D,B,2025-08-23,27,27
SKU-0105,B,B,2025-08-23,20,20
SKU-0119,C,C,2025-08-23,156,156
SKU-0133,C,C,2025-08-23,85,85
SKU-0184,C,A,2025-08-23,139,139
SKU-0203,E,B,2025-08-23,85,85
SKU-0220,D,B,2025-08-23,72,72
SKU-0226,B,C,2025-08-23,667,667
SKU-0009,A,A,2025-08-24,33,33
SKU-0087,B,A,2025-08-24,38,38
SKU-0127,C,A,2025-08-24,79,79
SKU-0166,D,C,2025-08-24,122,122
SKU-0221,E,C,2025-08-24,49,49
SKU-0063,C,C,2025-08-25,77,77
SKU-0156,B,C,2025-08-25,154,154
SKU-0160,A,C,2025-08-25,120,120
SKU-0163,A,C,2025-08-25,262,262
SKU-0209,A,C,2025-08-25,328,328
SKU-0234,D,C,2025-08-25,22,22
SKU-0006,D,B,2025-08-26,201,201
SKU-0070,C,C,2025-08-26,49,49
SKU-0107,E,C,2025-08-26,21,21
SKU-0110,D,C,2025-08-26,20,20
SKU-0123,B,B,2025-08-26,125,125
SKU-0146,C,C,2025-08-26,113,113
SKU-0177,A,B,2025-08-26,60,60
SKU-0193,C,C,2025-08-26,182,182
SKU-0237,B,C,2025-08-26,62,62
SKU-0248,A,B,2025-08-26,44,44
SKU-0039,D,B,2025-08-27,33,33
SKU-0040,D,A,2025-08-27,12,12
SKU-0069,E,B,2025-08-27,52,52
SKU-0098,D,B,2025-08-27,60,60
SKU-0102,C,A,2025-08-27,120,132
SKU-0114,E,C,2025-08-27,323,323
SKU-0118,D,C,2025-08-27,33,33
SKU-0129,D,B,2025-08-27,49,49
SKU-0171,C,B,2025-08-27,87,87
SKU-0182,B,C,2025-08-27,122,122
SKU-0242,E,B,2025-08-27,141,141
SKU-0010,C,C,2025-08-28,246,246
SKU-0034,B,C,2025-08-28,67,67
SKU-0079,B,C,2025-08-28,133,133
SKU-0096,D,C,2025-08-28,156,156
SKU-0197,B,A,2025-08-28,113,113
SKU-0215,C,C,2025-08-28,186,186
SKU-0218,E,C,2025-08-28,48,48
SKU-0225,C,C,2025-08-28,159,159
SKU-0250,B,B,2025-08-28,33,33
SKU-0168,B,C,2025-09-01,89,89
SKU-0197,B,A,2025-09-01,194,194
SKU-0230,C,B,2025-09-01,164,164
SKU-0033,D,C,2025-09-02,60,60
SKU-0059,B,C,2025-09-02,43,43
SKU-0078,B,A,2025-09-02,76,76
SKU-0079,B,C,2025-09-02,204,204
SKU-0136,E,B,2025-09-02,227,227
SKU-0022,B,B,2025-09-03,61,61
SKU-0093,A,C,2025-09-03,37,37
SKU-0096,D,C,2025-09-03,47,47
SKU-0145,E,B,2025-09-03,172,172
SKU-0157,D,B,2025-09-03,18,18
SKU-0167,A,C,2025-09-03,75,75
SKU-0179,A,C,2025-09-03,117,117
SKU-0223,C,A,2025-09-03,42,42
SKU-0242,E,B,2025-09-03,125,125
SKU-0147,B,C,2025-09-04,123,123
SKU-0185,C,C,2025-09-04,69,69
SKU-0189,D,B,2025-09-04,111,111
SKU-0210,D,C,2025-09-04,56,56
SKU-0236,B,C,2025-09-04,169,169
SKU-0063,C,C,2025-09-05,63,63
SKU-0074,A,C,2025-09-05,304,304
SKU-0076,A,C,2025-09-05,130,130
SKU-0089,B,A,2025-09-05,25,25
SKU-0090,C,C,2025-09-05,341,317
SKU-0140,C,A,2025-09-05,25,25
SKU-0173,D,C,2025-09-05,192,192
SKU-0215,C,C,2025-09-05,117,117
SKU-0011,B,C,2025-09-06,148,148
SKU-0014,B,C,2025-09-06,147,147
SKU-0046,B,A,2025-09-06,140,140
SKU-0062,C,A,2025-09-06,56,56
SKU-0070,C,C,2025-09-06,85,85
SKU-0072,A,C,2025-09-06,51,51
SKU-0133,C,C,2025-09-06,60,60
SKU-0141,A,C,2025-09-06,109,109
SKU-0183,D,C,2025-09-06,65,65
SKU-0184,C,A,2025-09-06,41,41
SKU-0218,E,C,2025-09-06,80,80
SKU-0220,D,B,2025-09-06,314,314
SKU-0248,A,B,2025-09-06,101,101
SKU-0009,A,A,2025-09-07,16,16
SKU-0025,A,C,2025-09-07,40,40
SKU-0031,D,C,2025-09-07,38,38
SKU-0034,B,C,2025-09-07,149,149
SKU-0039,D,B,2025-09-07,432,432
SKU-0084,B,B,2025-09-07,129,129
SKU-0102,C,A,2025-09-07,71,71
SKU-0108,C,B,2025-09-07,41,41
SKU-0142,D,A,2025-09-07,24,24
SKU-0153,C,C,2025-09-07,111,111
SKU-0160,A,C,2025-09-07,140,140
SKU-0171,C,B,2025-09-07,24,24
SKU-0172,C,B,2025-09-07,90,90
SKU-0178,B,C,2025-09-07,72,72
SKU-0008,A,C,2025-09-08,18,18
SKU-0013,A,B,2025-09-08,214,214
SKU-0017,B,B,2025-09-08,294,294
SKU-0018,D,B,2025-09-08,65,65
SKU-0045,B,A,2025-09-08,38,38
SKU-0068,C,B,2025-09-08,11,11
SKU-0100,C,A,2025-09-08,61,61
SKU-0132,C,C,2025-09-08,14,14
SKU-0152,B,A,2025-09-08,290,290
SKU-0200,C,C,2025-09-08,355,355
SKU-0226,B,C,2025-09-08,47,47
SKU-0044,E,B,2025-09-09,346,346
SKU-0064,D,B,2025-09-09,91,91
SKU-0080,D,B,2025-09-09,17,17
SKU-0083,D,B,2025-09-09,131,131
SKU-0114,E,C,2025-09-09,106,106
SKU-0119,C,C,2025-09-09,51,51
SKU-0125,D,B,2025-09-09,51,51
SKU-0163,A,C,2025-09-09,249,249
SKU-0177,A,B,2025-09-09,9,9
SKU-0027,C,B,2025-09-10,70,70
SKU-0057,E,A,2025-09-10,78,78
SKU-0094,C,B,2025-09-10,90,90
SKU-0101,C,B,2025-09-10,128,128
SKU-0112,C,C,2025-09-10,1339,1339
SKU-0120,D,A,2025-09-10,11,11
SKU-0155,E,B,2025-09-10,45,45
SKU-0159,B,B,2025-09-10,1009,1009
SKU-0247,D,B,2025-09-10,67,67
SKU-0010,C,C,2025-09-11,172,172
SKU-0019,D,B,2025-09-11,134,134
SKU-0047,A,B,2025-09-11,126,126
SKU-0058,D,A,2025-09-11,29,29
SKU-0115,D,C,2025-09-11,276,276
SKU-0150,C,A,2025-09-11,25,24
SKU-0204,C,B,2025-09-11,48,48
SKU-0212,B,C,2025-09-11,42,42
SKU-0021,B,C,2025-09-12,109,109
SKU-0035,A,B,2025-09-12,58,58
SKU-0056,C,A,2025-09-12,548,548
SKU-0166,D,C,2025-09-12,39,39
SKU-0196,B,B,2025-09-12,88,88
SKU-0198,C,B,2025-09-12,26,26
SKU-0201,D,B,2025-09-12,121,121
SKU-0207,B,C,2025-09-12,90,90
SKU-0225,C,C,2025-09-12,56,56
SKU-0233,D,A,2025-09-12,27,27
SKU-0001,B,C,2025-09-13,63,63
SKU-0016,A,B,2025-09-13,106,106
SKU-0038,C,C,2025-09-13,107,107
SKU-0075,B,C,2025-09-13,270,270
SKU-0095,A,C,2025-09-13,94,94
SKU-0135,B,B,2025-09-13,28,28
SKU-0241,A,C,2025-09-13,83,83
SKU-0041,B,C,2025-09-14,101,101
SKU-0049,C,C,2025-09-14,28,28
SKU-0071,A,B,2025-09-14,35,35
SKU-0097,E,C,2025-09-14,46,46
SKU-0099,B,A,2025-09-14,36,36
SKU-0110,D,C,2025-09-14,83,83
SKU-0174,C,A,2025-09-14,157,157
SKU-0249,B,B,2025-09-14,48,48
SKU-0002,D,C,2025-09-15,401,401
SKU-0081,B,C,2025-09-15,29,29
SKU-0086,B,A,2025-09-15,43,40
SKU-0091,C,C,2025-09-15,103,103
SKU-0104,C,A,2025-09-15,98,98
SKU-0117,C,B,2025-09-15,180,180
SKU-0154,C,C,2025-09-15,45,45
SKU-0181,C,B,2025-09-15,163,163
SKU-0186,A,B,2025-09-15,31,31
SKU-0211,C,C,2025-09-15,198,183
SKU-0221,E,C,2025-09-15,52,52
SKU-0231,B,C,2025-09-15,25,25
SKU-0036,B,B,2025-09-16,32,32
SKU-0051,C,C,2025-09-16,58,58
