po_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,expected_qty,received_qty,status
PO-003739,SUP-023,2024-07-12,2024-07-15,2024-07-15,321,321,Closed
PO-001454,SUP-006,2024-07-12,2024-07-19,2024-07-19,707,707,Closed
PO-001716,SUP-007,2024-07-12,2024-07-23,2024-07-23,235,235,Closed
PO-000698,SUP-003,2024-07-12,2024-07-20,2024-07-19,254,254,Closed
PO-003112,SUP-017,2024-07-12,2024-07-20,2024-07-20,181,181,Closed
PO-001178,SUP-005,2024-07-13,2024-07-17,2024-07-17,135,135,Closed
PO-000696,SUP-003,2024-07-14,2024-07-24,2024-07-24,400,400,Closed
PO-001989,SUP-008,2024-07-14,2024-07-19,2024-07-19,270,270,Closed
PO-003326,SUP-019,2024-07-14,2024-07-25,2024-07-27,442,442,Closed
PO-000013,SUP-001,2024-07-14,2024-07-19,2024-07-19,366,366,Closed
PO-001180,SUP-005,2024-07-14,2024-07-17,2024-07-17,157,157,Closed
PO-003324,SUP-019,2024-07-14,2024-07-25,2024-07-25,127,127,Closed
PO-003012,SUP-016,2024-07-14,2024-07-23,2024-07-23,318,318,Closed
PO-004216,SUP-036,2024-07-14,2024-07-19,2024-07-21,184,184,Closed
PO-003421,SUP-020,2024-07-14,2024-07-19,2024-07-19,407,407,Closed
PO-001453,SUP-006,2024-07-14,2024-07-21,2024-07-21,106,106,Closed
PO-004150,SUP-034,2024-07-15,2024-07-19,2024-07-20,124,124,Closed
PO-001175,SUP-005,2024-07-15,2024-07-18,2024-07-18,317,317,Closed
PO-001174,SUP-005,2024-07-15,2024-07-19,2024-07-19,488,488,Closed
PO-003623,SUP-022,2024-07-15,2024-07-21,2024-07-21,810,810,Closed
PO-000418,SUP-002,2024-07-16,2024-07-22,2024-07-22,218,218,Closed
PO-001990,SUP-008,2024-07-16,2024-07-19,2024-07-19,153,153,Closed
PO-000408,SUP-002,2024-07-16,2024-07-19,2024-07-19,397,397,Closed
PO-001177,SUP-005,2024-07-16,2024-07-20,2024-07-20,196,196,Closed
PO-000014,SUP-001,2024-07-17,2024-07-19,2024-07-19,186,186,Closed
PO-004151,SUP-034,2024-07-17,2024-07-23,2024-07-24,83,83,Closed
PO-003838,SUP-024,2024-07-17,2024-07-20,2024-07-20,336,254,Closed
PO-003738,SUP-023,2024-07-17,2024-07-20,2024-07-20,128,128,Closed
PO-002367,SUP-010,2024-07-17,2024-07-22,2024-07-22,147,147,Closed
PO-000689,SUP-003,2024-07-17,2024-07-27,2024-07-27,732,732,Closed
PO-000413,SUP-002,2024-07-17,2024-07-23,2024-07-22,147,147,Closed
PO-001985,SUP-008,2024-07-17,2024-07-19,2024-07-19,185,185,Closed
PO-003013,SUP-016,2024-07-18,2024-07-24,2024-07-24,226,226,Closed
PO-003113,SUP-017,2024-07-18,2024-07-25,2024-07-25,63,63,Closed
PO-003504,SUP-021,2024-07-18,2024-07-25,2024-07-25,695,695,Closed
PO-003325,SUP-019,2024-07-18,2024-08-01,2024-08-01,323,323,Closed
PO-002791,SUP-014,2024-07-18,2024-07-27,2024-07-27,251,251,Closed
PO-003936,SUP-027,2024-07-18,2024-07-27,2024-07-26,156,126,Closed
PO-004052,SUP-031,2024-07-18,2024-07-29,2024-07-29,622,622,Closed
PO-000005,SUP-001,2024-07-19,2024-07-21,2024-07-21,236,236,Closed
PO-002888,SUP-015,2024-07-19,2024-07-22,2024-07-22,283,283,Closed
PO-000407,SUP-002,2024-07-19,2024-07-24,2024-07-24,79,79,Closed
PO-002887,SUP-015,2024-07-19,2024-07-21,2024-07-21,647,647,Closed
PO-000018,SUP-001,2024-07-19,2024-07-23,2024-07-24,336,336,Closed
PO-004188,SUP-035,2024-07-20,2024-07-30,2024-07-30,184,158,Closed
PO-004252,SUP-037,2024-07-20,2024-07-24,2024-07-24,235,235,Closed
PO-004090,SUP-032,2024-07-20,2024-07-22,2024-07-22,946,780,Closed
PO-003880,SUP-025,2024-07-20,2024-07-29,2024-07-31,143,143,Closed
PO-000699,SUP-003,2024-07-21,2024-07-28,2024-07-28,165,165,Closed
PO-003624,SUP-022,2024-07-21,2024-07-27,2024-07-28,82,82,Closed
PO-001719,SUP-007,2024-07-21,2024-08-04,2024-08-04,280,280,Closed
PO-000697,SUP-003,2024-07-21,2024-07-31,2024-07-31,115,115,Closed
PO-001988,SUP-008,2024-07-21,2024-07-23,2024-07-23,158,158,Closed
PO-000691,SUP-003,2024-07-21,2024-07-28,2024-07-28,229,229,Closed
PO-000951,SUP-004,2024-07-21,2024-07-27,2024-07-27,270,270,Closed
PO-003997,SUP-029,2024-07-22,2024-08-01,2024-08-01,690,690,Closed
PO-002596,SUP-012,2024-07-22,2024-08-01,2024-08-01,118,118,Closed
PO-000414,SUP-002,2024-07-22,2024-07-28,2024-07-28,95,95,Closed
PO-000410,SUP-002,2024-07-22,2024-07-26,2024-07-26,153,153,Closed
PO-000700,SUP-003,2024-07-22,2024-08-01,2024-08-01,144,144,Closed
PO-001450,SUP-006,2024-07-22,2024-07-31,2024-07-31,83,83,Closed
PO-001449,SUP-006,2024-07-22,2024-07-30,2024-07-29,240,240,Closed
PO-003878,SUP-025,2024-07-22,2024-08-01,2024-08-03,75,75,Closed
PO-004379,SUP-040,2024-07-22,2024-07-29,2024-07-30,639,639,Closed
PO-003735,SUP-023,2024-07-23,2024-07-26,2024-07-26,128,128,Closed
PO-001456,SUP-006,2024-07-23,2024-07-30,2024-07-29,202,202,Closed
PO-001715,SUP-007,2024-07-23,2024-08-03,2024-08-03,803,803,Closed
PO-001986,SUP-008,2024-07-23,2024-07-26,2024-07-26,85,85,Closed
PO-000690,SUP-003,2024-07-23,2024-08-02,2024-08-02,323,323,Closed
PO-003737,SUP-023,2024-07-23,2024-07-27,2024-07-27,103,103,Closed
PO-003328,SUP-019,2024-07-24,2024-08-07,2024-08-07,754,754,Closed
PO-003505,SUP-021,2024-07-24,2024-08-02,2024-08-01,134,134,Closed
PO-003506,SUP-021,2024-07-24,2024-08-01,2024-07-31,319,319,Closed
PO-004215,SUP-036,2024-07-24,2024-07-27,2024-07-28,134,134,Closed
PO-002267,SUP-009,2024-07-24,2024-08-03,2024-08-03,587,587,Closed
PO-000947,SUP-004,2024-07-24,2024-08-02,2024-08-01,365,365,Closed
PO-001718,SUP-007,2024-07-24,2024-08-04,2024-08-04,127,127,Closed
PO-003973,SUP-028,2024-07-24,2024-07-27,2024-07-27,177,177,Closed
PO-000002,SUP-001,2024-07-25,2024-07-29,2024-07-29,194,194,Closed
PO-003228,SUP-018,2024-07-25,2024-07-30,2024-07-29,388,388,Closed
PO-000016,SUP-001,2024-07-25,2024-07-27,2024-07-27,347,347,Closed
PO-002368,SUP-010,2024-07-26,2024-07-30,2024-07-30,395,395,Closed
PO-002471,SUP-011,2024-07-26,2024-07-30,2024-07-31,429,429,Closed
PO-000945,SUP-004,2024-07-26,2024-08-02,2024-08-03,98,98,Closed
PO-003836,SUP-024,2024-07-26,2024-07-28,2024-07-29,248,248,Closed
PO-004378,SUP-040,2024-07-26,2024-08-03,2024-08-03,416,416,Closed
PO-000946,SUP-004,2024-07-26,2024-08-02,2024-08-02,482,482,Closed
PO-000948,SUP-004,2024-07-26,2024-08-04,2024-08-04,144,144,Closed
PO-000409,SUP-002,2024-07-26,2024-07-29,2024-07-29,305,305,Closed
PO-000020,SUP-001,2024-07-26,2024-07-29,2024-07-29,176,162,Closed
PO-000693,SUP-003,2024-07-27,2024-08-03,2024-08-03,272,272,Closed
PO-001446,SUP-006,2024-07-27,2024-08-03,2024-08-03,119,119,Closed
PO-002470,SUP-011,2024-07-27,2024-07-29,2024-07-29,901,901,Closed
PO-000001,SUP-001,2024-07-28,2024-07-31,2024-07-31,434,396,Closed
PO-001448,SUP-006,2024-07-28,2024-08-05,2024-08-05,484,484,Closed
PO-001171,SUP-005,2024-07-28,2024-08-01,2024-08-01,258,258,Closed
PO-002694,SUP-013,2024-07-28,2024-08-03,2024-08-03,232,232,Closed
PO-002695,SUP-013,2024-07-28,2024-08-04,2024-08-04,300,300,Closed
PO-001447,SUP-006,2024-07-28,2024-08-07,2024-08-07,617,617,Closed
PO-002365,SUP-010,2024-07-28,2024-07-31,2024-07-31,510,510,Closed
PO-003327,SUP-019,2024-07-28,2024-08-10,2024-08-10,375,375,Closed
PO-000009,SUP-001,2024-07-28,2024-08-01,2024-08-01,430,430,Closed
PO-001452,SUP-006,2024-07-29,2024-08-06,2024-08-06,429,429,Closed
PO-001457,SUP-006,2024-07-29,2024-08-06,2024-08-06,175,175,Closed
PO-003835,SUP-024,2024-07-29,2024-08-03,2024-08-03,92,92,Closed
PO-000415,SUP-002,2024-07-29,2024-08-03,2024-08-03,125,125,Closed
PO-003972,SUP-028,2024-07-29,2024-08-03,2024-08-03,342,342,Closed
PO-002595,SUP-012,2024-07-29,2024-08-07,2024-08-07,259,259,Closed
PO-003225,SUP-018,2024-07-30,2024-08-05,2024-08-05,260,260,Closed
PO-002788,SUP-014,2024-07-30,2024-08-09,2024-08-09,570,570,Closed
PO-003620,SUP-022,2024-07-30,2024-08-08,2024-08-09,1176,1176,Closed
PO-004116,SUP-033,2024-07-30,2024-08-07,2024-08-08,194,194,Closed
PO-001991,SUP-008,2024-07-30,2024-08-03,2024-08-03,898,898,Closed
PO-002789,SUP-014,2024-07-31,2024-08-07,2024-08-07,801,801,Closed
PO-003507,SUP-021,2024-07-31,2024-08-07,2024-08-07,150,142,Closed
PO-000411,SUP-002,2024-07-31,2024-08-06,2024-08-06,576,576,Closed
PO-003621,SUP-022,2024-07-31,2024-08-07,2024-08-07,1064,990,Closed
PO-003117,SUP-017,2024-08-01,2024-08-09,2024-08-08,217,217,Closed
PO-000028,SUP-001,2024-08-01,2024-08-06,2024-08-06,903,903,Closed
PO-000429,SUP-002,2024-08-01,2024-08-06,2024-08-06,159,159,Closed
PO-000423,SUP-002,2024-08-01,2024-08-04,2024-08-04,414,414,Closed
PO-003509,SUP-021,2024-08-01,2024-08-11,2024-08-11,337,337,Closed
PO-002001,SUP-008,2024-08-01,2024-08-05,2024-08-05,237,218,Closed
PO-003742,SUP-023,2024-08-02,2024-08-06,2024-08-06,266,266,Closed
PO-001462,SUP-006,2024-08-02,2024-08-11,2024-08-11,155,155,Closed
PO-003119,SUP-017,2024-08-02,2024-08-10,2024-08-15,320,320,Closed
PO-003116,SUP-017,2024-08-02,2024-08-12,2024-08-12,298,298,Closed
PO-002891,SUP-015,2024-08-02,2024-08-05,2024-08-05,95,95,Closed
PO-003426,SUP-020,2024-08-03,2024-08-07,2024-08-07,217,217,Closed
PO-001186,SUP-005,2024-08-03,2024-08-09,2024-08-09,107,107,Closed
PO-003511,SUP-021,2024-08-03,2024-08-11,2024-08-11,602,602,Closed
PO-001999,SUP-008,2024-08-03,2024-08-07,2024-08-07,249,221,Closed
PO-000703,SUP-003,2024-08-03,2024-08-11,2024-08-10,371,371,Closed
PO-000711,SUP-003,2024-08-03,2024-08-12,2024-08-12,111,111,Closed
PO-003508,SUP-021,2024-08-03,2024-08-13,2024-08-13,111,90,Closed
PO-001728,SUP-007,2024-08-03,2024-08-16,2024-08-15,187,187,Closed
PO-001997,SUP-008,2024-08-04,2024-08-08,2024-08-07,389,389,Closed
PO-004021,SUP-030,2024-08-04,2024-08-11,2024-08-10,262,262,Closed
PO-001191,SUP-005,2024-08-04,2024-08-08,2024-08-08,215,215,Closed
PO-001188,SUP-005,2024-08-04,2024-08-09,2024-08-09,191,191,Closed
PO-003913,SUP-026,2024-08-04,2024-08-07,2024-08-07,532,532,Closed
PO-004189,SUP-035,2024-08-05,2024-08-12,2024-08-13,469,469,Closed
PO-000426,SUP-002,2024-08-05,2024-08-10,2024-08-10,272,272,Closed
PO-001469,SUP-006,2024-08-05,2024-08-12,2024-08-12,215,215,Closed
PO-000706,SUP-003,2024-08-05,2024-08-14,2024-08-14,284,284,Closed
PO-000034,SUP-001,2024-08-05,2024-08-08,2024-08-08,242,242,Closed
PO-003123,SUP-017,2024-08-05,2024-08-14,2024-08-14,209,209,Closed
PO-001726,SUP-007,2024-08-06,2024-08-17,2024-08-17,779,779,Closed
PO-002597,SUP-012,2024-08-06,2024-08-13,2024-08-13,346,346,Closed
PO-000042,SUP-001,2024-08-06,2024-08-11,2024-08-11,465,465,Closed
PO-001184,SUP-005,2024-08-06,2024-08-12,2024-08-12,505,505,Closed
PO-003839,SUP-024,2024-08-07,2024-08-12,2024-08-12,224,224,Closed
PO-001722,SUP-007,2024-08-07,2024-08-21,2024-08-21,2996,2996,Closed
PO-003975,SUP-028,2024-08-07,2024-08-12,2024-08-12,579,579,Closed
PO-003512,SUP-021,2024-08-08,2024-08-16,2024-08-16,234,234,Closed
PO-000421,SUP-002,2024-08-08,2024-08-12,2024-08-12,341,341,Closed
PO-000038,SUP-001,2024-08-08,2024-08-13,2024-08-13,128,128,Closed
PO-003015,SUP-016,2024-08-08,2024-08-14,2024-08-15,158,158,Closed
PO-000953,SUP-004,2024-08-09,2024-08-16,2024-08-16,43,43,Closed
PO-000031,SUP-001,2024-08-09,2024-08-11,2024-08-11,261,261,Closed
PO-003937,SUP-027,2024-08-09,2024-08-19,2024-08-19,309,218,Closed
PO-003118,SUP-017,2024-08-09,2024-08-19,2024-08-19,690,690,Closed
PO-002890,SUP-015,2024-08-09,2024-08-11,2024-08-11,367,367,Closed
PO-002272,SUP-009,2024-08-09,2024-08-18,2024-08-18,1472,1472,Closed
PO-002269,SUP-009,2024-08-09,2024-08-16,2024-08-16,88,88,Closed
PO-001460,SUP-006,2024-08-10,2024-08-17,2024-08-17,159,159,Closed
PO-000430,SUP-002,2024-08-10,2024-08-13,2024-08-13,40,40,Closed
PO-000427,SUP-002,2024-08-10,2024-08-13,2024-08-13,440,440,Closed
PO-003974,SUP-028,2024-08-10,2024-08-12,2024-08-12,285,285,Closed
PO-000021,SUP-001,2024-08-10,2024-08-14,2024-08-14,260,260,Closed
PO-004217,SUP-036,2024-08-10,2024-08-13,2024-08-12,163,163,Closed
PO-003120,SUP-017,2024-08-10,2024-08-17,2024-08-17,152,152,Closed
PO-000422,SUP-002,2024-08-10,2024-08-15,2024-08-15,156,156,Closed
PO-002369,SUP-010,2024-08-11,2024-08-14,2024-08-13,323,323,Closed
PO-003121,SUP-017,2024-08-11,2024-08-20,2024-08-20,315,315,Closed
PO-003513,SUP-021,2024-08-11,2024-08-21,2024-08-21,202,202,Closed
PO-000027,SUP-001,2024-08-11,2024-08-15,2024-08-14,792,792,Closed
PO-000952,SUP-004,2024-08-11,2024-08-20,2024-08-20,157,157,Closed
PO-003841,SUP-024,2024-08-11,2024-08-13,2024-08-13,913,913,Closed
PO-003014,SUP-016,2024-08-11,2024-08-19,2024-08-19,519,519,Closed
PO-004380,SUP-040,2024-08-12,2024-08-18,2024-08-18,895,895,Closed
PO-002273,SUP-009,2024-08-12,2024-08-19,2024-08-18,137,137,Closed
PO-001468,SUP-006,2024-08-12,2024-08-21,2024-08-21,101,101,Closed
PO-003424,SUP-020,2024-08-12,2024-08-15,2024-08-15,742,742,Closed
PO-003231,SUP-018,2024-08-12,2024-08-17,2024-08-21,571,571,Closed
PO-003334,SUP-019,2024-08-12,2024-08-25,2024-08-25,483,483,Closed
PO-003115,SUP-017,2024-08-12,2024-08-22,2024-08-22,344,344,Closed
PO-001998,SUP-008,2024-08-13,2024-08-16,2024-08-17,865,865,Closed
PO-002274,SUP-009,2024-08-13,2024-08-21,2024-08-22,79,79,Closed
PO-002270,SUP-009,2024-08-13,2024-08-20,2024-08-20,289,289,Closed
PO-003229,SUP-018,2024-08-13,2024-08-16,2024-08-15,94,94,Closed
PO-001185,SUP-005,2024-08-13,2024-08-16,2024-08-16,252,252,Closed
PO-000432,SUP-002,2024-08-13,2024-08-16,2024-08-15,704,704,Closed
PO-002598,SUP-012,2024-08-13,2024-08-22,2024-08-22,108,108,Closed
PO-001189,SUP-005,2024-08-14,2024-08-17,2024-08-17,547,547,Closed
PO-000037,SUP-001,2024-08-14,2024-08-17,2024-08-16,628,628,Closed
PO-002893,SUP-015,2024-08-14,2024-08-16,2024-08-15,73,73,Closed
PO-004343,SUP-039,2024-08-14,2024-08-17,2024-08-17,308,308,Closed
PO-001727,SUP-007,2024-08-14,2024-08-26,2024-08-26,381,381,Closed
PO-003429,SUP-020,2024-08-14,2024-08-17,2024-08-17,194,194,Closed
PO-002796,SUP-014,2024-08-14,2024-08-23,2024-08-23,230,230,Closed
PO-003230,SUP-018,2024-08-14,2024-08-19,2024-08-20,262,262,Closed
PO-003114,SUP-017,2024-08-14,2024-08-24,2024-08-24,519,519,Closed
PO-002371,SUP-010,2024-08-15,2024-08-19,2024-08-18,307,307,Closed
PO-004022,SUP-030,2024-08-15,2024-08-22,2024-08-23,136,136,Closed
PO-001463,SUP-006,2024-08-15,2024-08-22,2024-08-22,479,479,Closed
PO-001465,SUP-006,2024-08-15,2024-08-25,2024-08-25,288,288,Closed
PO-004255,SUP-037,2024-08-15,2024-08-21,2024-08-21,934,934,Closed
PO-002600,SUP-012,2024-08-15,2024-08-22,2024-08-21,372,372,Closed
PO-001466,SUP-006,2024-08-15,2024-08-24,2024-08-24,143,143,Closed
PO-002599,SUP-012,2024-08-16,2024-08-24,2024-08-24,194,194,Closed
PO-001183,SUP-005,2024-08-16,2024-08-21,2024-08-21,274,274,Closed
PO-004152,SUP-034,2024-08-16,2024-08-19,2024-08-19,502,502,Closed
PO-003427,SUP-020,2024-08-16,2024-08-21,2024-08-21,319,319,Closed
PO-003333,SUP-019,2024-08-16,2024-08-30,2024-08-29,103,95,Closed
PO-000035,SUP-001,2024-08-16,2024-08-18,2024-08-18,126,126,Closed
PO-000702,SUP-003,2024-08-16,2024-08-26,2024-08-26,286,286,Closed
PO-000712,SUP-003,2024-08-16,2024-08-23,2024-08-23,334,334,Closed
PO-000025,SUP-001,2024-08-17,2024-08-19,2024-08-19,305,305,Closed
PO-004381,SUP-040,2024-08-17,2024-08-26,2024-08-26,604,604,Closed
PO-002475,SUP-011,2024-08-17,2024-08-20,2024-08-20,156,156,Closed
PO-002474,SUP-011,2024-08-17,2024-08-22,2024-08-22,133,133,Closed
PO-003740,SUP-023,2024-08-17,2024-08-21,2024-08-20,75,75,Closed
PO-000023,SUP-001,2024-08-17,2024-08-20,2024-08-20,143,143,Closed
PO-002268,SUP-009,2024-08-18,2024-08-27,2024-08-26,404,404,Closed
PO-000428,SUP-002,2024-08-18,2024-08-23,2024-08-25,627,627,Closed
PO-004153,SUP-034,2024-08-18,2024-08-24,2024-08-24,252,252,Closed
PO-000709,SUP-003,2024-08-18,2024-08-26,2024-08-26,671,671,Closed
PO-000707,SUP-003,2024-08-18,2024-08-25,2024-08-25,194,194,Closed
PO-004117,SUP-033,2024-08-18,2024-08-27,2024-08-27,183,183,Closed
PO-003510,SUP-021,2024-08-19,2024-08-28,2024-08-28,194,194,Closed
PO-004000,SUP-029,2024-08-19,2024-08-26,2024-08-26,112,112,Closed
PO-003016,SUP-016,2024-08-19,2024-08-27,2024-08-27,137,137,Closed
PO-003741,SUP-023,2024-08-19,2024-08-25,2024-08-25,455,455,Closed
PO-002793,SUP-014,2024-08-19,2024-08-28,2024-08-31,683,683,Closed
PO-003428,SUP-020,2024-08-19,2024-08-23,2024-08-23,148,148,Closed
PO-001995,SUP-008,2024-08-19,2024-08-24,2024-08-24,189,189,Closed
PO-004092,SUP-032,2024-08-19,2024-08-21,2024-08-21,367,367,Closed
PO-002794,SUP-014,2024-08-20,2024-08-27,2024-08-27,79,79,Closed
PO-002372,SUP-010,2024-08-20,2024-08-23,2024-08-23,266,266,Closed
PO-002271,SUP-009,2024-08-20,2024-08-30,2024-08-30,281,281,Closed
PO-003232,SUP-018,2024-08-20,2024-08-24,2024-08-25,153,153,Closed
PO-001182,SUP-005,2024-08-20,2024-08-23,2024-08-23,170,170,Closed
PO-001194,SUP-005,2024-08-20,2024-08-24,2024-08-24,855,855,Closed
PO-002889,SUP-015,2024-08-20,2024-08-22,2024-08-23,354,286,Closed
PO-000024,SUP-001,2024-08-20,2024-08-23,2024-08-23,170,170,Closed
PO-003331,SUP-019,2024-08-21,2024-09-01,2024-09-01,429,429,Closed
PO-000714,SUP-003,2024-08-21,2024-08-30,2024-08-31,396,396,Closed
PO-002476,SUP-011,2024-08-21,2024-08-25,2024-08-25,187,187,Closed
PO-003881,SUP-025,2024-08-21,2024-08-28,2024-08-28,898,898,Closed
PO-001471,SUP-006,2024-08-21,2024-08-29,2024-08-29,776,776,Closed
PO-003423,SUP-020,2024-08-21,2024-08-23,2024-08-24,414,414,Closed
PO-001467,SUP-006,2024-08-22,2024-08-31,2024-08-31,163,163,Closed
PO-002697,SUP-013,2024-08-22,2024-08-31,2024-08-31,113,113,Closed
PO-004344,SUP-039,2024-08-22,2024-08-25,2024-08-25,570,570,Closed
PO-001723,SUP-007,2024-08-23,2024-09-05,2024-09-05,140,140,Closed
PO-001470,SUP-006,2024-08-23,2024-09-02,2024-09-02,126,126,Closed
PO-004345,SUP-039,2024-08-23,2024-08-26,2024-08-26,124,124,Closed
PO-001724,SUP-007,2024-08-23,2024-09-06,2024-09-06,161,161,Closed
PO-000954,SUP-004,2024-08-24,2024-08-31,2024-08-30,609,609,Closed
PO-000039,SUP-001,2024-08-24,2024-08-28,2024-08-28,593,593,Closed
PO-004347,SUP-039,2024-08-24,2024-08-29,2024-08-28,275,213,Closed
PO-000425,SUP-002,2024-08-24,2024-08-27,2024-08-27,110,110,Closed
PO-000036,SUP-001,2024-08-24,2024-08-27,2024-08-27,148,148,Closed
PO-000431,SUP-002,2024-08-24,2024-08-28,2024-08-28,272,272,Closed
PO-000710,SUP-003,2024-08-24,2024-09-03,2024-09-03,230,230,Closed
PO-000032,SUP-001,2024-08-24,2024-08-28,2024-08-28,513,513,Closed
PO-000029,SUP-001,2024-08-24,2024-08-26,2024-08-26,723,723,Closed
PO-002601,SUP-012,2024-08-24,2024-09-02,2024-09-02,147,147,Closed
PO-003122,SUP-017,2024-08-25,2024-09-03,2024-09-03,129,129,Closed
