merchant_id,month,txn_count,txn_value_gbp,declined_count,fee_revenue_gbp
M-0006,2024-11,188,5988.36,4,81.24
M-0006,2024-12,261,7362.97,6,100.97
M-0006,2025-01,149,4428.01,3,66.36
M-0006,2025-02,187,4741.7,3,69.03
M-0006,2025-03,156,4371.58,14,60.56
M-0006,2025-04,138,4023.69,11,55.36
M-0006,2025-05,115,3215.25,11,48.6
M-0006,2025-06,99,2769.9,11,37.72
M-0007,2024-08,41,9677.09,0,105.17
M-0007,2024-09,46,12155.77,0,140.89
M-0007,2024-10,75,17865.09,1,212.47
M-0007,2024-11,77,20267.67,3,228.06
M-0007,2024-12,117,28828.69,1,310.54
M-0007,2025-01,88,21382.64,3,224.97
M-0007,2025-02,108,26921.71,1,295.33
M-0007,2025-03,152,33345.96,7,399.69
M-0007,2025-04,117,28823.91,3,330.45
M-0007,2025-05,117,30391.24,2,330.0
M-0007,2025-06,166,43256.33,9,488.62
M-0007,2025-07,186,44563.43,6,490.11
M-0007,2025-08,163,42338.39,4,450.49
M-0007,2025-09,142,36846.29,8,394.28
M-0007,2025-10,135,33970.75,8,374.24
M-0007,2025-11,129,34144.46,3,396.75
M-0007,2025-12,129,32239.95,3,353.14
M-0007,2026-01,106,23446.43,4,264.27
M-0007,2026-02,100,25630.34,5,282.11
M-0007,2026-03,170,40156.65,8,447.28
M-0007,2026-04,142,33891.47,3,370.82
M-0007,2026-05,161,35437.05,7,389.33
M-0007,2026-06,191,47559.24,4,519.54
M-0008,2024-01,722,19695.06,15,272.47
M-0008,2024-02,719,21220.05,21,289.49
M-0008,2024-03,763,20435.91,17,288.76
M-0008,2024-04,726,20761.2,15,291.82
M-0008,2024-05,899,24367.2,15,331.78
M-0008,2024-06,720,21060.14,16,292.95
M-0008,2024-07,850,24029.52,27,327.97
M-0008,2024-08,800,21962.34,27,302.28
M-0008,2024-09,800,22628.79,18,318.83
M-0008,2024-10,867,25039.52,27,349.22
M-0008,2024-11,1156,28908.72,24,400.02
M-0008,2024-12,1193,33050.64,34,445.07
M-0008,2025-01,671,18936.27,14,260.54
M-0008,2025-02,761,22594.07,20,330.77
M-0008,2025-03,865,25189.23,20,334.33
M-0008,2025-04,809,22296.75,17,313.09
M-0008,2025-05,816,21239.51,18,293.67
M-0008,2025-06,859,22851.71,18,325.59
M-0008,2025-07,951,25589.55,20,363.09
M-0008,2025-08,801,21899.65,19,309.72
M-0008,2025-09,906,26707.39,22,387.7
M-0008,2025-10,907,27244.33,21,382.41
M-0008,2025-11,1037,30175.53,21,430.69
M-0008,2025-12,1530,38129.8,36,521.6
M-0008,2026-01,766,22188.73,18,318.76
M-0008,2026-02,841,23277.71,21,316.84
M-0008,2026-03,946,25401.86,38,344.72
M-0008,2026-04,1054,28491.22,32,412.14
M-0008,2026-05,1050,28126.02,21,377.41
M-0008,2026-06,913,24719.96,35,346.85
M-0009,2024-01,1311,40043.26,44,566.85
M-0009,2024-02,1986,53460.17,49,723.69
M-0009,2024-03,1711,48645.07,41,690.34
M-0009,2024-04,1997,53278.66,45,697.58
M-0009,2024-05,1947,53690.45,55,725.59
M-0009,2024-06,2012,49880.33,49,675.99
M-0009,2024-07,2069,53481.59,54,754.3
M-0009,2024-08,1915,52423.85,56,725.96
M-0009,2024-09,2065,58157.08,55,794.26
M-0009,2024-10,1857,54954.74,52,769.69
M-0009,2024-11,2483,62429.35,56,841.81
M-0009,2024-12,2963,80284.59,54,1136.13
M-0009,2025-01,1464,43171.95,42,599.03
M-0009,2025-02,1786,50801.37,51,736.73
M-0009,2025-03,2005,57555.67,45,803.21
M-0009,2025-04,2114,58476.57,48,787.3
M-0009,2025-05,1717,53269.47,45,723.36
M-0009,2025-06,1876,57286.05,58,801.54
M-0009,2025-07,1929,55654.04,32,747.87
M-0009,2025-08,2109,62061.59,57,890.03
M-0009,2025-09,2031,56625.04,48,795.7
M-0009,2025-10,2014,57381.8,49,800.49
M-0009,2025-11,2354,70299.93,66,1048.88
M-0009,2025-12,3060,86980.65,84,1185.51
M-0009,2026-01,1719,52519.2,37,755.66
M-0009,2026-02,2336,64295.23,61,897.4
M-0009,2026-03,2148,59008.21,50,863.69
M-0009,2026-04,1959,53714.44,47,748.7
M-0009,2026-05,2040,57418.44,56,818.22
M-0009,2026-06,2137,62795.77,32,858.54
M-0010,2026-01,2179,39875.46,56,624.93
M-0010,2026-02,3704,73244.4,67,1142.89
M-0010,2026-03,6274,112643.08,141,1876.49
M-0010,2026-04,7117,126565.24,147,2189.28
M-0010,2026-05,8770,161033.6,158,2509.51
M-0010,2026-06,9854,185690.32,240,2848.07
M-0011,2025-06,2845,73220.46,65,1013.49
M-0011,2025-07,4213,125717.94,88,1667.38
M-0011,2025-08,5296,160993.56,133,2212.81
M-0011,2025-09,7619,217865.91,184,3171.14
M-0011,2025-10,8814,251141.81,199,3601.27
M-0011,2025-11,13035,403572.14,320,5667.16
M-0011,2025-12,15358,438348.73,340,6284.69
M-0011,2026-01,9488,285023.83,271,3876.44
M-0011,2026-02,11722,322596.82,224,4426.48
M-0011,2026-03,12250,330335.97,293,4384.4
M-0011,2026-04,12374,335080.53,288,4954.49
M-0011,2026-05,10697,308518.93,319,4454.35
M-0011,2026-06,13535,373320.14,310,5540.06
M-0012,2024-02,460,18140.22,25,352.99
M-0012,2024-03,912,34102.26,44,647.7
M-0012,2024-04,1038,43480.82,58,818.79
M-0012,2024-05,1350,54114.68,59,1025.31
M-0012,2024-06,1463,62901.66,75,1230.7
M-0012,2024-07,1952,75569.76,79,1465.61
M-0012,2024-08,1681,65492.57,85,1225.0
M-0012,2024-09,1867,79796.17,78,1471.22
M-0012,2024-10,2057,87627.25,68,1722.21
M-0012,2024-11,2150,93075.71,107,1848.99
M-0012,2024-12,2811,121428.68,145,2395.89
M-0012,2025-01,1717,68619.63,67,1276.89
M-0012,2025-02,1891,85120.76,64,1582.87
M-0012,2025-03,1943,79395.0,56,1444.49
M-0012,2025-04,1952,82657.84,77,1555.75
M-0012,2025-05,1986,76414.86,82,1454.61
M-0012,2025-06,1828,82161.69,91,1523.31
M-0012,2025-07,2285,90544.05,107,1668.97
M-0012,2025-08,2309,91668.89,99,1642.11
M-0012,2025-09,2192,89410.09,106,1706.58
M-0012,2025-10,2393,90317.21,111,1766.52
M-0012,2025-11,2820,117772.02,106,2228.93
M-0012,2025-12,2724,114947.7,136,2307.61
M-0012,2026-01,1765,71138.5,56,1365.1
M-0012,2026-02,1967,87049.49,97,1686.0
M-0012,2026-03,2407,95816.99,130,1808.82
M-0012,2026-04,2172,86949.59,78,1684.26
M-0012,2026-05,2385,99794.4,110,1877.87
M-0012,2026-06,2121,87917.76,110,1661.82
M-0013,2025-05,1519,44132.8,45,586.48
M-0013,2025-06,2563,72400.64,56,1037.42
M-0013,2025-07,3477,103869.33,71,1461.81
M-0013,2025-08,5776,132129.33,136,1863.36
M-0013,2025-09,6276,172328.85,161,2372.85
M-0013,2025-10,6225,184673.81,136,2566.04
M-0013,2025-11,8453,242179.47,206,3360.9
M-0013,2025-12,10670,306738.67,267,4344.97
M-0013,2026-01,6613,172073.94,172,2437.35
M-0013,2026-02,7494,194730.14,161,2799.74
M-0013,2026-03,7284,212929.4,242,2672.32
M-0013,2026-04,6594,193583.65,169,2827.87
M-0013,2026-05,7269,189426.05,189,2755.14
M-0013,2026-06,7548,213180.66,165,2967.69
M-0014,2025-07,337,14800.18,14,278.73
M-0014,2025-08,526,22992.24,23,440.72
M-0014,2025-09,713,31327.2,27,607.34
M-0014,2025-10,1054,42196.6,29,773.3
M-0014,2025-11,1536,65769.66,79,1221.46
M-0014,2025-12,2054,86489.71,111,1651.57
M-0014,2026-01,1293,52247.34,71,983.69
M-0014,2026-02,1691,61929.31,65,1225.54
M-0014,2026-03,1450,60256.01,63,1125.63
M-0014,2026-04,1480,61483.09,68,1192.94
M-0014,2026-05,1431,63185.79,73,1196.29
M-0014,2026-06,1492,63640.56,63,1209.34
M-0015,2025-12,2286,45334.49,43,766.08
M-0015,2026-01,2301,44684.88,60,697.23
M-0015,2026-02,4521,79675.31,107,1272.09
M-0015,2026-03,5999,109525.71,122,1721.59
M-0015,2026-04,7277,138386.1,151,2243.65
M-0015,2026-05,8663,165873.63,196,2734.82
M-0015,2026-06,8346,165538.24,197,2646.5
M-0016,2024-01,195,5493.57,5,76.45
M-0016,2024-02,245,7046.61,10,100.27
M-0016,2024-03,276,7321.3,9,102.7
M-0016,2024-04,296,7402.88,9,108.84
M-0016,2024-05,248,6748.28,8,95.71
M-0016,2024-06,264,7595.63,11,108.6
M-0016,2024-07,243,7506.39,6,103.17
M-0016,2024-08,305,7964.26,5,109.76
M-0016,2024-09,289,7902.0,6,112.62
M-0016,2024-10,277,7415.14,7,105.23
M-0016,2024-11,344,9702.88,14,138.72
M-0016,2024-12,356,10440.94,20,143.57
M-0016,2025-01,214,5908.67,11,80.85
M-0016,2025-02,171,5181.08,9,71.97
M-0016,2025-03,158,4525.43,7,63.91
M-0017,2025-02,265,10489.46,13,196.84
M-0017,2025-03,328,14506.4,8,282.23
M-0017,2025-04,517,21682.04,24,402.77
M-0017,2025-05,600,25715.96,27,485.92
M-0017,2025-06,743,30579.36,39,584.89
M-0017,2025-07,1002,39532.73,40,769.15
M-0017,2025-08,837,36954.28,33,689.31
M-0017,2025-09,907,39695.14,34,750.61
M-0017,2025-10,866,36458.81,39,663.23
M-0017,2025-11,1151,49056.48,56,889.91
M-0017,2025-12,1256,58371.41,58,1135.87
M-0017,2026-01,679,32278.44,27,626.44
M-0017,2026-02,978,41687.9,53,827.12
M-0017,2026-03,989,41892.57,43,808.02
M-0017,2026-04,993,42804.52,49,836.64
M-0017,2026-05,995,42847.28,37,827.48
M-0017,2026-06,841,40891.44,55,756.06
M-0018,2024-01,603,24659.49,20,459.26
M-0018,2024-02,769,30035.74,32,571.7
M-0018,2024-03,788,32547.31,44,660.75
M-0018,2024-04,837,33121.93,35,630.74
M-0018,2024-05,759,30234.83,49,559.86
M-0018,2024-06,701,32274.82,30,649.83
M-0018,2024-07,749,29575.3,27,581.89
M-0018,2024-08,709,30379.27,32,605.23
M-0018,2024-09,834,33245.5,37,610.22
M-0018,2024-10,760,31393.76,50,604.75
M-0018,2024-11,1057,40956.1,39,791.05
M-0018,2024-12,1213,48401.09,52,893.3
M-0018,2025-01,688,27117.42,28,513.68
M-0018,2025-02,782,33701.11,26,641.1
M-0018,2025-03,844,37546.72,34,695.78
M-0018,2025-04,919,38118.39,37,725.36
M-0018,2025-05,837,33914.49,53,653.69
M-0018,2025-06,899,38206.63,35,710.36
M-0018,2025-07,918,37184.23,30,727.42
M-0018,2025-08,757,33444.14,32,651.23
M-0018,2025-09,1059,38705.8,42,732.18
M-0018,2025-10,854,34172.63,45,633.02
M-0018,2025-11,1096,42257.67,49,824.19
M-0018,2025-12,1306,51209.47,42,966.7
M-0018,2026-01,749,33167.77,26,592.22
M-0018,2026-02,756,33976.3,44,637.65
M-0018,2026-03,823,36294.33,26,682.8
M-0018,2026-04,960,38667.82,28,734.92
M-0018,2026-05,981,41060.95,40,796.1
M-0018,2026-06,868,36124.59,32,722.85
M-0019,2026-05,127,5194.95,7,99.16
M-0019,2026-06,190,7974.0,8,153.33
M-0020,2024-01,3141,61921.75,55,970.15
M-0020,2024-02,3903,83799.5,58,1403.43
M-0020,2024-03,4425,85582.74,84,1323.32
M-0020,2024-04,4482,80427.8,128,1235.04
M-0020,2024-05,5021,88184.13,133,1383.11
M-0020,2024-06,4190,83467.67,86,1313.79
M-0020,2024-07,4777,93392.33,100,1484.82
M-0020,2024-08,4660,95027.48,129,1489.07
M-0020,2024-09,4902,92076.06,102,1460.85
M-0020,2024-10,4207,83402.44,63,1304.66
M-0020,2024-11,4745,90233.52,123,1379.79
M-0020,2024-12,6312,119826.26,128,1951.49
M-0020,2025-01,3558,70880.92,83,1169.97
M-0020,2025-02,4694,91283.89,110,1540.49
M-0020,2025-03,4687,90614.17,92,1350.22
M-0020,2025-04,4290,81324.23,110,1296.39
M-0020,2025-05,4813,89246.72,79,1355.68
M-0020,2025-06,4780,92931.52,121,1451.87
M-0020,2025-07,5226,98759.89,87,1579.09
M-0020,2025-08,5435,107898.79,107,1766.56
M-0020,2025-09,4539,85823.96,81,1430.55
M-0020,2025-10,3779,80057.51,102,1235.27
M-0020,2025-11,4896,95638.14,102,1510.85
M-0020,2025-12,7068,129843.86,163,2004.43
M-0020,2026-01,4784,84617.71,108,1374.53
M-0020,2026-02,5079,97339.71,108,1652.43
M-0020,2026-03,4380,85032.23,93,1448.63
M-0020,2026-04,4961,96797.63,135,1578.27
M-0020,2026-05,5583,106860.03,123,1751.67
M-0020,2026-06,4895,94546.98,112,1469.37
M-0021,2025-02,135,12047.46,5,153.57
M-0021,2025-03,220,19649.53,5,232.26
M-0021,2025-04,264,22723.05,7,261.39
M-0021,2025-05,444,39113.79,6,471.32
M-0021,2025-06,492,42076.34,9,519.26
M-0021,2025-07,594,53071.75,10,636.44
M-0021,2025-08,519,47172.5,7,567.8
M-0021,2025-09,592,50416.75,7,592.31
M-0021,2025-10,715,58957.07,21,692.08
M-0021,2025-11,652,54869.74,13,652.41
M-0021,2025-12,571,49494.95,13,580.47
M-0021,2026-01,631,53002.28,11,617.92
M-0021,2026-02,640,54196.49,17,669.73
M-0021,2026-03,659,55353.46,7,682.57
M-0021,2026-04,637,53287.2,21,620.24
M-0021,2026-05,566,51938.23,26,639.43
M-0021,2026-06,582,48024.26,16,578.53
M-0022,2024-01,263,7763.0,8,115.11
M-0022,2024-02,347,9614.11,10,136.28
M-0022,2024-03,342,9874.92,7,137.33
M-0022,2024-04,339,9098.36,13,127.26
M-0022,2024-05,377,11023.1,4,155.29
M-0022,2024-06,388,10497.63,8,158.52
M-0022,2024-07,374,10127.7,15,146.84
M-0022,2024-08,336,10301.5,8,140.38
M-0022,2024-09,385,11000.7,5,153.91
M-0022,2024-10,401,11424.55,10,164.26
M-0022,2024-11,443,13505.21,10,188.58
M-0022,2024-12,549,14577.12,5,205.67
M-0022,2025-01,275,7963.39,5,108.3
M-0022,2025-02,440,11587.92,11,162.17
M-0022,2025-03,406,11494.36,11,157.76
M-0022,2025-04,405,10351.58,9,147.73
M-0022,2025-05,409,10929.35,7,150.09
M-0022,2025-06,434,11887.6,10,164.81
M-0022,2025-07,446,12221.09,8,167.12
M-0022,2025-08,375,10660.07,5,148.9
M-0022,2025-09,405,11104.23,10,161.27
M-0022,2025-10,487,12453.83,9,177.56
M-0022,2025-11,554,14474.19,20,198.83
M-0022,2025-12,619,18248.48,9,244.68
M-0022,2026-01,350,9324.38,10,135.78
M-0022,2026-02,432,12040.97,13,175.93
M-0022,2026-03,443,12168.04,14,166.41
M-0022,2026-04,399,11230.73,12,155.4
M-0022,2026-05,496,13273.9,15,181.94
M-0022,2026-06,391,11915.93,18,166.73
M-0023,2024-03,358,85170.14,7,820.33
M-0023,2024-04,554,133197.68,19,1239.01
M-0023,2024-05,831,201298.24,29,1825.5
M-0023,2024-06,1242,300959.33,33,2665.32
M-0023,2024-07,1994,476250.32,74,4309.41
M-0023,2024-08,2089,474628.78,67,4448.57
M-0023,2024-09,1370,330750.19,46,3133.86
M-0023,2024-10,1566,383723.43,68,3498.98
M-0023,2024-11,1680,395548.27,62,3838.49
M-0023,2024-12,1578,374630.64,57,3573.78
M-0023,2025-01,1020,246579.48,42,2376.28
M-0023,2025-02,1107,262827.62,48,2526.46
M-0023,2025-03,1479,328622.14,52,2980.09
M-0023,2025-04,1510,339070.06,59,2999.13
M-0023,2025-05,1565,372252.18,56,3516.43
M-0023,2025-06,2288,554600.13,74,5413.27
M-0023,2025-07,2187,522409.07,57,4537.79
M-0023,2025-08,2369,536719.45,70,5263.65
M-0023,2025-09,1472,370581.9,37,3234.82
M-0023,2025-10,1695,429826.55,50,3964.39
M-0023,2025-11,2023,433781.22,72,4011.16
M-0023,2025-12,1545,368942.35,46,3417.52
M-0023,2026-01,1197,275710.46,49,2678.87
M-0023,2026-02,1270,313000.64,39,2971.03
M-0023,2026-03,1902,455741.1,75,4327.22
M-0023,2026-04,1891,412392.67,59,3948.81
M-0023,2026-05,1651,385776.75,70,3520.18
M-0023,2026-06,2307,528394.24,45,4993.33
M-0024,2025-06,1021,19035.23,26,307.45
M-0024,2025-07,1812,34525.86,32,580.8
M-0024,2025-08,2821,47584.83,67,711.99
M-0024,2025-09,3154,57731.71,79,944.84
M-0024,2025-10,3027,63137.05,70,1005.75
M-0024,2025-11,3949,76568.44,85,1270.85
M-0024,2025-12,6600,119287.32,123,1858.3
M-0024,2026-01,3260,62269.92,78,965.25
M-0024,2026-02,3845,73671.53,64,1144.39
M-0024,2026-03,4537,81874.96,130,1357.2
M-0024,2026-04,4593,86703.06,108,1363.27
M-0024,2026-05,4764,93847.29,119,1450.0
M-0024,2026-06,4380,86027.68,95,1382.81
M-0025,2026-05,288,5214.55,4,78.17
M-0025,2026-06,465,8702.1,12,139.16
M-0026,2025-10,618,17843.75,14,247.02
M-0026,2025-11,1457,39701.13,38,558.17
M-0026,2025-12,1780,49071.69,48,675.18
M-0026,2026-01,1487,38611.58,34,526.66
M-0026,2026-02,2227,61301.91,43,880.03
M-0026,2026-03,2473,66333.91,64,960.08
M-0026,2026-04,2167,63955.97,48,916.14
M-0026,2026-05,2591,70126.97,70,1009.89
M-0026,2026-06,2624,75396.24,60,1081.99
M-0027,2024-01,1094,20503.52,18,322.76
M-0027,2024-02,1483,27304.15,37,425.3
M-0027,2024-03,1639,29770.6,48,455.83
M-0027,2024-04,1429,29184.62,25,473.99
M-0027,2024-05,1376,28397.36,55,443.03
M-0027,2024-06,1391,26670.28,18,459.57
M-0027,2024-07,1682,32865.02,34,535.2
M-0027,2024-08,1415,28170.08,38,439.12
M-0027,2024-09,1344,26711.11,25,413.0
M-0027,2024-10,1494,29916.83,36,491.32
M-0027,2024-11,1579,31172.65,36,508.4
M-0027,2024-12,1978,41935.62,52,691.22
M-0027,2025-01,1275,22964.0,26,355.61
M-0027,2025-02,1486,29790.16,22,488.7
M-0027,2025-03,1309,26354.93,25,422.53
M-0027,2025-04,1478,28523.14,19,441.2
M-0027,2025-05,1696,30619.96,34,504.45
M-0027,2025-06,1346,26294.43,28,425.55
M-0027,2025-07,2054,36952.72,42,574.77
M-0027,2025-08,1921,33975.96,44,557.45
M-0027,2025-09,1536,28387.88,28,459.18
M-0027,2025-10,1557,29869.07,41,477.09
M-0027,2025-11,1750,32849.06,39,518.53
M-0027,2025-12,2085,40723.81,40,658.56
M-0027,2026-01,1290,25805.59,31,396.91
M-0027,2026-02,1722,35002.35,40,585.77
M-0027,2026-03,1691,32235.33,41,491.16
M-0027,2026-04,1854,34419.91,33,545.13
M-0027,2026-05,1483,28943.29,28,466.36
M-0027,2026-06,1798,33923.22,30,542.36
M-0028,2024-01,2617,52707.13,83,828.14
M-0028,2024-02,3362,61381.34,78,929.68
M-0028,2024-03,3315,58679.41,61,945.03
M-0028,2024-04,3636,67348.72,102,1031.49
M-0028,2024-05,3089,60482.77,64,995.87
M-0028,2024-06,3434,69404.16,79,1121.07
M-0028,2024-07,3540,72831.02,70,1182.34
M-0028,2024-08,3936,79390.68,81,1243.96
M-0028,2024-09,3629,64968.6,99,1032.21
M-0028,2024-10,3600,69369.32,90,1075.87
M-0028,2024-11,4006,76848.27,112,1181.95
M-0028,2024-12,4911,95945.28,104,1594.45
M-0028,2025-01,2629,50968.35,43,837.8
M-0028,2025-02,3533,64846.55,88,1022.87
M-0028,2025-03,3536,67862.17,83,1115.68
M-0028,2025-04,3686,63787.3,67,1028.09
M-0028,2025-05,3941,67012.46,92,1093.82
M-0028,2025-06,3363,66976.86,67,1060.4
M-0028,2025-07,4079,83158.51,101,1232.87
M-0028,2025-08,4526,82068.38,97,1294.99
M-0028,2025-09,3848,73061.45,95,1226.17
M-0028,2025-10,4375,77333.49,96,1210.55
M-0028,2025-11,4003,77188.68,93,1229.12
M-0028,2025-12,4715,91997.31,106,1474.33
M-0028,2026-01,2972,56959.74,96,907.81
M-0028,2026-02,3473,62734.97,175,972.87
M-0028,2026-03,2560,48662.13,108,791.12
M-0028,2026-04,2121,37402.31,157,590.36
M-0029,2024-01,945,16486.09,21,261.39
M-0029,2024-02,1082,21484.49,19,348.87
M-0029,2024-03,1161,21031.92,18,339.21
M-0029,2024-04,1140,21506.58,17,346.26
M-0029,2024-05,1178,21777.63,26,353.58
M-0029,2024-06,1188,22105.68,42,345.64
M-0029,2024-07,1378,24673.5,36,405.84
M-0029,2024-08,1309,25018.49,26,395.22
M-0029,2024-09,1150,22223.42,23,333.98
M-0029,2024-10,1177,23858.69,34,384.92
M-0029,2024-11,1141,21113.96,33,351.63
M-0029,2024-12,1462,26816.49,36,426.25
M-0029,2025-01,968,19374.27,14,315.54
M-0029,2025-02,1327,23738.9,28,384.2
M-0029,2025-03,1228,24186.9,35,371.37
M-0029,2025-04,1183,21753.92,18,344.75
M-0029,2025-05,1317,25999.74,34,420.35
M-0029,2025-06,1207,24735.77,27,385.97
M-0029,2025-07,1417,27713.72,31,455.7
M-0029,2025-08,1438,27140.43,35,432.0
M-0029,2025-09,1339,26312.07,33,438.68
M-0029,2025-10,1188,22317.06,18,357.17
M-0029,2025-11,1462,25208.36,32,417.44
M-0029,2025-12,1758,32751.76,38,517.78
M-0029,2026-01,1043,20132.39,13,316.75
M-0029,2026-02,1565,26992.54,25,425.6
M-0029,2026-03,1347,25523.16,25,402.59
M-0029,2026-04,1130,23750.31,22,377.99
M-0029,2026-05,1546,28170.18,32,467.06
M-0029,2026-06,1283,24702.47,35,399.93
M-0030,2024-08,2285,43928.42,51,721.89
M-0030,2024-09,2945,56210.72,66,884.93
M-0030,2024-10,3929,72958.94,88,1154.76
M-0030,2024-11,5610,109942.26,123,1676.76
M-0030,2024-12,9085,181119.36,191,2711.63
M-0030,2025-01,5827,113853.03,159,1863.23
M-0030,2025-02,7770,148676.0,165,2475.78
M-0030,2025-03,8087,149007.21,169,2364.94
M-0030,2025-04,7825,144419.72,97,2365.84
M-0030,2025-05,8161,161678.64,131,2493.39
M-0030,2025-06,7200,142821.48,131,2219.9
M-0030,2025-07,9250,183337.22,197,2889.03
M-0030,2025-08,9090,175085.27,203,2804.41
M-0030,2025-09,9514,173011.28,171,2809.77
M-0030,2025-10,7913,159807.66,183,2554.66
M-0030,2025-11,8712,163500.46,199,2474.44
M-0030,2025-12,11365,220680.72,227,3423.99
M-0030,2026-01,6667,123525.98,166,1980.06
M-0030,2026-02,8079,149366.6,155,2374.45
M-0030,2026-03,9037,175976.77,208,2787.22
